Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,55001,55002,55003,55004,55005,55006,55007,55008,55009,55010,55011,55012,55013,55014,55015,55022,55023,55024,55035,55215,55036,55037,55038,55109,55110,55111,55230,55231,55112,55113,55115,55218,55219,55225,55226,55116,55117,55171,55119,55120,55121,55123,55124,55126,55127,55159,55160,55161,55173,55174,55175,55176,55185,55186,55187,55188,55189,55190,55133,55134,55135,55136,55137,55138,55232,55233,55234,55139,55140,55142,55220,55221,55222,55227,55228,55229,55143,55172,55145,55146,55147,55148,55149,55150,55151,55152,55153,55154,55155,55156,55157,55162,55163,55164,55165,55166,55167,55177,55178,55180,55181,55182,55191,55192,55193,55039,55040,55041,55042,55043,55044,55168,55169,55170,55051,55052,55053,55060,55194,55101,55102,55103,55104,55105,55106,55107,55108,55071,55072,55235,55235,55236,55236,55237,55238,55239,55240,55241,55242,55243,55553,55553,55553,55554,55554,55554,55555,55555,55556,55556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,142,CCI,M,M,1,1,3,Art der erzeugenden Marktlokation,CCI+++Z34,Art der erzeugenden Marktlokation,,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,143,CAV,C,R,99,1,4,Art der erzeugenden Marktlokation,"CAV+Z33 
CAV+Z34 
CAV+Z35 
CAV+Z37 
CAV+Z46 ","EEG-Marktlokation ohne DV-Pflicht
KWKG-Marktlokation ohne DV-Pflicht
sonstige Marktlokation
EEG-Marktlokation mit DV-Pflicht
KWKG-Marktlokation mit DV-Pflicht",,S,marktlokation.energieherkunft,erzeugungsart (ENUM),"Z33 = ""EEG""
Z34 = ""KWK""
Z35 = ""SONSTIGE""
Z37 = ""EEG_DV""
Z46 = ""KWK_DV""",API fehlt,FEED_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Gruppenzuordnung (nach EnWG),,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,144,CCI,M,M,1,1,3,Gruppenzuordnung (nach EnWG),"CCI+++Z15
CCI+++Z18","Haushaltskunde gem. EnWG
kein Haushaltskunde gem. EnWG",,S,vetrag.netznutzungsvertrag.vertragskonditionen,haushaltskunde,"Z15 = true
Z18 = false",groupAttribution.basicAttribution,MALO_DATA,X,X,,,,,,,,,,,X,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Netznutzung,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,Soll ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,145,CCI,M,M,1,1,3,Netznutzung,CCI+++Z88,Netznutzung,,,,,,,PROZESSLOGIK,X,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,146,CAV,C,R,99,1,4,Netznutzungsvertrag,"CAV+Z74:::Z08
CAV+Z74:::Z09","Direkter Vertrag zwischen Kunden und NB
Vertrag zwischen Lieferanten und NB",,S,vetrag.netznutzungsvertrag.vertragskonditionen,netznutzungsvertrag,"Z08 = ""KUNDEN_NB""
Z09 = ""LIEFERANTEN_NB""",contract.gridUsageContract,MALO_DATA,X,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,147,CAV,C,D,99,1,4,Zahlung der Netznutzung,"CAV+Z73:::Z10
CAV+Z73:::Z11","Kunde
Lieferant",,S,vetrag.netznutzungsvertrag.vertragskonditionen,netznutzungszahler,"Z10 = ""KUNDE""
Z11 = ""LIEFERANT""",contract.gridUsagePayer,MALO_DATA,X,X,,,,,,,,,,,X,X,,,,,S,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,148,CAV,C,D,99,1,4,Grundlage der Lieferscheinprüfung,"CAV+ZA7:::Z12
CAV+ZA7:::Z13","In der Marktkommunikation ausgetauschte Daten
Abweichend vertraglich mit Anschlussnutzer vereinbarte Grundlage",,S,vetrag.netznutzungsvertrag.vertragskonditionen,netznutzungsabrechnungsgrundlage,"Z12 = ""LIEFERSCHEIN""
Z13 = ""ABWEICHENDE_GRUNDLAGE""",register.deliveryNoteCheck,MALO_DATA,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Empfänger der Vergütung zur Einspeisung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann S,,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,149,CCI,M,M,1,1,3,Empfänger der Vergütung zur Einspeisung,CCI+++Z89,Empfänger der Vergütung,,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,150,CAV,C,R,99,1,4,Empfänger der Vergütung zur Einspeisung,"CAV+:::Z10
CAV+:::Z11","Kunde
Lieferant",,S,marktlokation,verguetungEmpfaenger,"Z10 = ""KUNDE""
Z11 = ""LIEFERANT""",,FEED_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Veräußerungsform der erzeugenden Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann S,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,151,CCI,M,M,1,1,3,Veräußerungsform der erzeugenden Marktlokation,CCI+Z22++Z90,"Z90 EEG Veräußerungsform: Ausfallvergütung
Z91 EEG Veräußerungsform: Marktprämie
Z92 Veräußerungsform ohne gesetzliche Vergütung
Z94 KWKG Vergütung",,S,marktlokation,statusErzeugendeMalo,"Z90 = ""EINSPEISEVERGUETUNG_PARAGRAPH_37""
Z91 = ""GEFOERDERTE_DIREKTVERMARKTUNG""
Z92 = ""SONSTIGE_DIREKTVERMARKTUNG""
Z92 = ""VERMARKTUNG_OHNE_GESETZL_VERGUETUNG""
Z94 = ""KWKG_VERGUETUNG""
",,FEED_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Land der Förderung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,152,CCI,M,M,1,1,3,Land der Förderung,CCI+Z23++XX:LAND:293,Ländercode,,S,marktlokation,foerderungsLand,,,FEED_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Status der Fernsteuerbarkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann S,,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,153,CCI,M,M,1,1,3,Status der Fernsteuerbarkeit,"CCI+Z24++Z96
CCI+Z24++Z97
CCI+Z24++Z98","Marktlokation ist technisch nicht fernsteuerbar
Marktlokation ist technisch fernsteuerbar
Marktlokation ist durch den Lieferanten fernsteuerbar",,S,marktlokation,fernsteuerbarkeit,"Z96 = ""TECHNISCH_NICHT_FERNSTEUERBAR""
Z97 = ""TECHNISCH_FERNSTEUERBAR""
Z98 = ""DURCH_LF_FERNSTEUERBAR""",register.stateRemoteControl,MALO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Versorgungsart der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,154,CCI,M,M,1,1,3,Versorgungsart der Marktlokation,"CCI+Z36++ZC9
CCI+Z36++ZD0
CCI+Z36++ZE3","Ersatzversorgung
Grundversorgung
Ersatzbelieferung",,S,marktlokation,versorgungsart,"ZC9 = ""ERSATZVERSORGUNG""
ZD0 = ""GRUNDVERSORGUNG""
ZE3 = ""ERSATZBELIEFERUNG""",? - aus welcher API wird der Wert gelesen? Woher kommen die Daten für die Nachricht?,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Betriebszustand der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,155,CCI,M,M,1,1,3,Betriebszustand der Marktlokation,"CCI+Z42++ZB9
CCI+Z42++ZD3","Marktlokation gesperrt
Marktlokation im Regelbetrieb",,S,marktlokation,sperrstatus,"ZB9 = ""GESPERRT""
ZD3 = ""ENTSPERRT""",operationCondition,MALO_DATA,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Abwicklungsmodell,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,156,CCI,M,M,1,1,3,Abwicklungsmodell,"CCI+ZA2++ZE9
CCI+ZA2++ZF0","Modell 1 ""Bilanzierung an der Marktlokation""
Modell 2 ""Bilanzierung im Bilnazierungsgebiet (BG) des LPB""",,S,Bilanzierung,abwicklungsmodell,"ZE9 -> MODELL_1_BILANZIERUNG_AN_MARKTLOKATION
ZF0 -> MODELL_2_BILANZIERUNG_IM_BILANZIERUNGSGEBIET",,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Paket-ID,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,157,CCI,M,M,1,1,3,Paket-ID,CCI+Z67++P9705070235',Z67 Paket-ID,,S,marktlokation,paketId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,1,2,Daten der Marktlokation der beteiligten Marktrolle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,158,SEQ,M,M,1,1,2,Daten der Marktlokation der beteiligten Marktrolle,SEQ+Z29,,,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,159,RFF,C,R,9,1,3,Referenz auf die ID der Marktlokation,RFF+Z18:XXXXXXXXXXX,Marktlokation,,S,"ausgehend:

marktlokation

eingehend:

marktlokation.datenDerBeteiligtenMarktrolle","marktlokationsId

",,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,Veranschlagte Jahresmenge gesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,160,QTY,M,M,1,1,3,Veranschlagte Jahresmenge gesamt,QTY+31:XXX:KWH,Veranschlagte Jahresmenge XXX gesamt,,S,"ausgehend:

bilanzierung.jahresverbrauchsprognose

eingehend:

bilanzierung.datenDerBeteiligtenMarktrolle.jahresverbrauchsprognose",wert:einheit,,podConsumtion.consumption,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,Tatsächlich bilanzierte Energiemenge,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,161,QTY,M,M,1,1,3,Tatsächlich bilanzierte Energiemenge,QTY+Z07:XXX:KWH,Tatsächlich bilanzierte Energiemenge XXX,X,,,,,,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,1,3,Regelzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,162,CCI,M,M,1,1,3,Regelzone,CCI+Z18++XXXXXXXXXXXXXXXX,Regelzone XXXXXXXXXXXXXXXX,,S,"ausgehend:

marktlokation

eingehend:

marktlokation.datenDerBeteiligtenMarktrolle
",regelzone,,grid.balancingArea,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Bilanzkreis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,163,CCI,M,M,1,1,3,Bilanzkreis,CCI+Z19++XXXXXXXXXXXXXXXX,Bilanzkreis XXXXXXXXXXXXXXXX,,S,"ausgehend:

Bilanzierung

eingehend:

Bilanzierung.datenDerBeteiligtenMarktrolle",bilanzkreis,,balancingGroup.externalCode,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,1,3,Bilanzierungsgebiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,164,CCI,M,M,1,1,3,Bilanzierungsgebiet,CCI+Z20++XXXXXXXXXXXXXXXX,Bilanzierungsgebiet XXXXXXXXXXXXXXXX,,S,"ausgehend:

marktlokation

eingehend:

Marktlokation.datenDerBeteiligtenMarktrolle",bilanzierungsgebiet,,grid.balancingArea,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,2,3,Zeitreihentyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,165,CCI,M,M,1,1,3,Zeitreihentyp,CCI+15++Z21,Summenzeitreihe,,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,166,CAV,C,R,99,1,4,Zeitreihentyp,CAV+XXX,Zeitreihentyp,,S,"ausgehend:

bilanzierung

eingehend:

Bilanzierung.datenDerBeteiligtenMarktrolle",zeitreihentyp,,groupAttribution.profileAssignmentType,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,1,3,Aggregationsverantwortung in MaBiS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
