jsonStructure,Group1,Group2,Parameter,type,pattern,pattern,Beispiel,Beschreibung,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E
body,dataMeterLocations,dataMeterLocationMeasuringPointOperators,executionTimeUntil,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MESSLOKATION[].marktrollen[marktrolle=""MSB""]",zuordnungBis,
body,dataTechnicalResources,,,Schema,,,,Schemarahmen für dataTechnicalResources,S,,,
body,dataTechnicalResources,,trId,string,D[A-Z\d]{9}\d,D[A-Z\d]{9}\d,D1234848431,Identifiziert die Technische Ressource mittels einer eindeutigen ID,S,TECHNISCHE_RESSOURCE[],ressourcenId,
body,dataControllableResources,,,Schema,,,,Schemarahmen für dataControllableResources,S,,,
body,dataControllableResources,,srId,string,C[A-Z\d]{9}\d,C[A-Z\d]{9}\d,C1234848431,Identifiziert die Steuerbare Ressource mittels einer eindeutigen ID,S,STEUERBARE_RESSOURCE[],ressourcenId,
body,dataControllableResources,dataControllableResourceMeasuringPointOperators,,Schema,,,,Schemarahmen für dataControllableResourceMeasuringPointOperators,S,,,
body,dataControllableResources,dataControllableResourceMeasuringPointOperators,marketPartnerId,integer,\d{13},\d{13},9900987654321,Identifiziert den Marktpartner (Marktpartner-ID),S,"STEUERBARE_RESSOURCE[].marktrollen[marktrolle=""MSB""]",rollencodenummer,
body,dataControllableResources,dataControllableResourceMeasuringPointOperators,executionTimeFrom,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Beginnzeitpunkt, Zeitpunkt zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"STEUERBARE_RESSOURCE[].marktrollen[marktrolle=""MSB""]",zuordnungVon,
body,dataControllableResources,dataControllableResourceMeasuringPointOperators,executionTimeUntil,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"STEUERBARE_RESSOURCE[].marktrollen[marktrolle=""MSB""]",zuordnungBis,
body,dataNetworkLocations,,,Schema,,,,Schemarahmen für dataNetworkLocations,S,,,
body,dataNetworkLocations,,neloId,string,E[A-Z\d]{9}\d,E[A-Z\d]{9}\d,E1234848431,Identifiziert die Netzlokation mittels einer eindeutigen ID,S,NETZLOKATION[],netzlokationsId,
body,dataNetworkLocations,dataNetworkLocationMeasuringPointOperators,,Schema,,,,Schemarahmen für dataNetworkLocationMeasuringPointOperators,S,,,
body,dataNetworkLocations,dataNetworkLocationMeasuringPointOperators,marketPartnerId,integer,\d{13},\d{13},9900987654321,Identifiziert den Marktpartner (Marktpartner-ID),S,"NETZLOKATION[].marktrollen[marktrolle=""MSB""]",rollencodenummer,
body,dataNetworkLocations,dataNetworkLocationMeasuringPointOperators,executionTimeFrom,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Beginnzeitpunkt, Zeitpunkt zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"NETZLOKATION[].marktrollen[marktrolle=""MSB""]",zuordnungVon,
body,dataNetworkLocations,dataNetworkLocationMeasuringPointOperators,executionTimeUntil,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"NETZLOKATION[].marktrollen[marktrolle=""MSB""]",zuordnungBis,
