jsonStructure,Parameter,type,pattern,required,Beispiel,Beschreibung,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E
header,transactionId,string,($UUID RFC4122),X,f81d4fae-7dec-11d0-a765-00a0c91e6bf6,Externe Transaktions-Id zur eindeutigen Identifikation der Anfrage der MaLo-ID der Marktlokation des sendenden Marktpartners.,T,transaktionsdaten,vorgangsnummer,
header,creationDateTime ,string,"20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\d(\.[\d]{1,4})?Z",,2023-08-01T12:30:00.1704Z,Zeitpunkt an dem der Aufruf erstellt wurde,T,transaktionsdaten,nachrichtendatum,
header,initialTransactionId,string,($UUID RFC4122),,f81d4fae-7dec-11d0-a765-00a0c91e6bf6,Zur Angabe des Idempodenzschlüssel im Falle eines Retry.,T,transaktionsdaten,idempodenzschluessel,
query,referenceId,string,($UUID RFC4122),X,f81d4fae-7dec-11d0-a765-00a0c91e6bf6,"Externe Vorgangsreferenz zur eindeutigen Identifikation des ursprünglichen Aufrufs (Wert aus transactionId, Schritt1 des UC Ermittlung der MaLo-ID der Marktlokation).",T,transaktionsdaten,vorgangsreferenznummer,
body,decisionTree,string,E_\d{4},X,E_0594,"Angabe des Entscheidungsbaums aus dem edi@energy Dokument ""Entscheidungsbaum-Diagramme und Codelisten für die Antwortnachrichten"" als Grundlage für den negativen Antwortgrund",T,transaktionsdaten,antwortstatusCodeliste,
body,responseCode,string,A[A-Z\d]{2},X,A10,Angabe des Antwortgrundes des in decisionTree genannten Entscheidungsbaums.,T,transaktionsdaten,antwortstatus,
body,reason,string,,,Ich bin ein Freitext.,Angabe der weiteren Erläuterung zum in responseCode genannten Antwortgrundes sofern dies gemäß dem in decisionTree genannten Entscheidungsbaums zulässig ist.,T,transaktionsdaten,freitext,
body,networkOperator,integer,\d{13},,9900987654321,Identifiziert den Marktpartner (Marktpartner-ID),T,transaktionsdaten.beteiligterMarktpartner,rollencodenummer,
