0060,8,RFF,M,M,1,1,1,Referenz auf vorherige Stammdatenmeldung des MSB,RFF+Z30:UTILMDXYZ_1235,Z30 Referenz auf vorherige Stammdatenmeldung des MSB,S,energiemenge,referenzStammdatenmeldungMsb,,,,,,,,,,,,,,,,,,,,,,,,,,
0050,,SG1,C,R,9,1,1,Prüfidentifikator,,,,,,,,,Muss,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss
0060,9,RFF,M,M,1,1,1,Prüfidentifikator,"RFF+Z13:13002
RFF+Z13:13003
RFF+Z13:13005
RFF+Z13:13006
RFF+Z13:13007
RFF+Z13:13008
RFF+Z13:13009
RFF+Z13:13010
RFF+Z13:13011
RFF+Z13:13012
RFF+Z13:13013
RFF+Z13:13014
RFF+Z13:13015
RFF+Z13:13016
RFF+Z13:13017
RFF+Z13:13018
RFF+Z13:13019
RFF+Z13:13020
RFF+Z13:13021
RFF+Z13:13022
RFF+Z13:13023
RFF+Z13:13025
RFF+Z13:13026
RFF+Z13:13027
RFF+Z13:13028","Messw. Zählerstand (Gas)
Summenzeitreihe
EEG-Überf.ZR
Messw. Storno
Gasbeschaffenheitsdaten
Messwert Lastgang (Gas)
Messwert Energiemenge (Gas)
Profil
Profilschar
TEP Vergangenheitswerte Referenz-Messung
Marktlokationsscharfe Allokationsliste Gas (MMMA)
Marktlokationsscharfe bilanzierte Menge (MMMA)
Bewegungsdaten im Kalenderjahr vor Lieferbeginn
Energiemenge und Leistungsmaximum
Messw. Zählerstand (Strom)
Lastgang Messlokation, Netzkoppelpunkt
Messwert Energiemenge (Strom)
Redispatch Ausfallarbeitsüberführungszeitreihe
Redispatch Übermittlung von meteorologischen Daten
Redispatch Einzelzeitreihe Ausfallarbeit
Redispatch Ausfallarbeitssummenzeitreihe
Lastgang Marktlokation, Tranche
Redispatch EEG-Überführungszeitreihe aufgrund Ausfallarbeit
Werte nach Typ 2
Grundlage POG-Ermittlung",T,,pruefidentifikator,,,PROZESSLOGIK,13017,13019,13016,13015,13002,13009,13018,13025,13008,13010,13011,13012,13003,13023,13005,13026,13020,13022,13021,13007,13013,13014,13006
0080,,SG2,C,R,99,1,1,MP-ID Absender,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss
0090,10,NAD,M,M,1,1,1,MP-ID Absender,NAD+MS+XXXXXXXXXXXXX::293,Sender MP-ID,T,absender,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
0130,,SG4,C,D,9,1,2,Kontaktinformation,,,,,,,,,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann
0140,11,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:M Mustermann,Ansprechpartner Name,T,absender.ansprechpartner,nachname,,,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
0150,12,COM,C,R,9,5,3,Kommunikationsverbindung,COM+XXXXXXXXXX:TE,Ansprechpartner Kommunikation EM = Email ; FX = Telefax ; TE = Telefon ; AJ = weiteres Telefon ; AL = Handy,T,absender.ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
0080,,SG2,C,R,99,1,1,MP-ID Empfänger,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss
0090,13,NAD,M,M,1,1,1,MP-ID Empfänger,NAD+MR+XXXXXXXXXXXXX::293,Empfänger MP-ID,T,empfaenger,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
0160,14,UNS,M,M,1,1,0,Abschnitts-Kontrollsegment,UNS+D,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
