Nummer,Nr.,Typ,Status,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,23001,23003,23004,23008,23005,23009,23011,23012,,,,,,,,,,,,,,,
0190,14,COM,C,R,99,5,4,Kommunikationsverbindung,COM+004398989198:FX,"EM E-Mail
FX Telefax
TE Telefon
AJ weiteres Telefon
AL Handy",T,ansprechpartnerKunde,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,,,,,,,,,,,,,,,,,,,,,,
0200,,SG7,C,R,999,999,2,LIN-DTM-DTM-DTM-DTM-STS-STS-FTX-SG8,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,
0210,15,LIN,M,M,1,1,2,Positionsdaten,LIN+1,,S,statusmitteilung.positionsdaten,positionsnummer,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
0240,16,DTM,C,D,99,1,3,Zeitpunkt zu dem der Geräte-Status ermittelt wurde,"DTM+9:20221215:102
DTM+9:201112241830?+01:303",Bearbeitungs-/Verarbeitungsdatum/-zeit,S,statusmitteilung.positionsdaten,bearbeitungsdatum,,,,,,,x,,Soll,,Soll,,,,,,,,,,,,,,,
0240,17,DTM,C,D,99,1,3,Beginn des Geräte-Status,"DTM+163:20111224:102
DTM+163:201112241830?+01:303","Verarbeitung, Beginndatum/-zeit",S,statusmitteilung.positionsdaten,verwendungAb,,,,Kann,Kann,Kann,x,Kann,Kann,Kann,Kann,,,,,,,,,,,,,,,
0240,18,DTM,C,D,99,1,3,Ende des Geräte-Status,"DTM+164:20111224:102
DTM+164:201112241830?+01:303","Verarbeitung, Endedatum/-zeit",S,statusmitteilung.positionsdaten,verwendungBis,,,,,,,x,,x,,x,,,,,,,,,,,,,,,
0240,19,DTM,C,D,99,1,3,Ende des Zustands,"DTM+292:20111224:102
DTM+292:201112241830?+01:303","Datum/Zeit der abgeschlossenen Leistung (Arbeit), geplant",S,statusmitteilung.positionsdaten,enddatum,,,,,,x,,x,,x,,,,,,,,,,,,,,,,
0250,20,STS,C,D,99,1,3,Gerätestatus,STS+Z06+Z10+Z75,"Z06 Gerätestatus
+
Z09 störungsfrei
Z10 gestört
Z11 festgestellte Störung
Z12 vermutete Störung
+
Z75 Kommunikationsstörung
Z78 Gerätewechsel
Z81 Messeinrichtung gestört/defekt
ZB8 keine Störung feststellbar
ZC1 Störungsbehebung nicht möglich
ZS1 Reparatur ohne Gerätewechsel",S,statusmitteilung.positionsdaten,"auftragsstatus
statusanlass","auftragsstatus:
Z09 -> STOERUNGSFREI
Z10 -> GESTOERT
Z11 -> FESTGESTELLTE_STOERUNG
Z12 -> VERMUTETE_STOERUNG
statusanlass:
Z75 -> KOMMUNIKATIONSSTOERUNG
Z78 -> STATUS_GERAETEWECHSEL
Z81 -> MESSEINRICHTUNG_GESTOERT_DEFEKT
ZB8 -> KEINE_STOERUNG_FESTSTELLBAR
ZC1 -> STOERUNGSBEHEBUNG_NICHT_MOEGLICH
ZS1 -> REPARATUR_OHNE_GERAETEWECHSEL",,,x,,x,x,x,x,x,x,,,,,,,,,,,,,,,
0250,21,STS,C,D,99,1,3,Antwortstatus,STS+E01++ZB8,,S,statusmitteilung.positionsdaten,antwortstatus,,,,,x,x,,,,,,,,,,,,,,,,,,,,
0310,22,FTX,C,O,9,1,3,Freier Text,"FTX+AAO+++text:X:X:X:X
FTX+ACD+++text:X:X:X:X","E01 Status der Antwort
+
E15 Zustimmung ohne Korrekturen
Z29 Ablehnung (kein Vertragsverhältnis mehr vorhanden)
ZB8 keine Störung feststellbar",S,statusmitteilung.positionsdaten,"fehlerbeschreibung
begruendung",,,,Kann,,Kann,(x),Kann,(x),Kann,(x),,,,,,,,,,,,,,,
0320,,SG8,C,R,999,1,3,NAD-LOC-RFF,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,
0330,23,NAD,M,M,1,1,3,Messlokation,NAD+DP,Lieferanschrift,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
0350,24,LOC,C,R,99,1,4,Meldepunkt,LOC+172+DE0065239988901000000000008560083,Meldepunkt,S,statusmitteilung.positionsdaten,lokationsId,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
0380,25,RFF,C,D,99,99,4,Gestörte Messlokation,RFF+Z21:DE0065239988901000000000008560083,zugeordnete Messlokation,S,statusmitteilung.positionsdaten,referenzMelo,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,
0440,26,UNT,M,M,1,1,0,Nachrichten-Endesegment,UNT+47+1,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
