Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,44001,44002,44003,44004,44005,44006,44007,44008,44009,44010,44011,44012,44013,44014,44015,44019,44020,44021,44022,44023,44024,44035,44215,44036,44037,44038,44109,44112,44113,44115,44116,44117,44119,44120,44121,44123,44124,44159,44160,44161,44175,44176,44137,44138,44139,44140,44142,44143,44172,44145,44146,44147,44148,44149,44150,44151,44152,44156,44157,44162,44163,44164,44165,44166,44167,44180,44181,44182,44039,44040,44041,44042,44043,44044,44168,44169,44170,44051,44052,44053,44060,44101,44102,44103,44104,44105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0250,26,STS,C,D,9,1,2,Transaktionsgrund,"STS+7++E01
STS+7++E02
STS+7++E03
STS+7++E05
STS+7++E06
STS+7++Z02
STS+7++Z15
STS+7++Z26
STS+7++Z33
STS+7++Z36
STS+7++Z37
STS+7++Z39
STS+7++Z40
STS+7++Z41
STS+7++Z69
STS+7++ZC6
STS+7++ZC7
STS+7++ZC8
STS+7++ZD0
STS+7++ZD2
STS+7++ZE3
STS+7++ZE4
STS+7++ZE5
STS+7++ZE6
STS+7++ZE7","Ein-/Auszug (Umzug)
Einzug/Neuanlage
Wechsel
Stornierung
Ersatzbelieferung
Kündigung Lieferantenrahmenvertrag
Zusätzlicher Datensatz
Information über existierende Zuordnung
Auszug/Stilllegung
EoG aus Ein-/Auszug (Umzug)
EoG aus Einzug/Neuanlage
EoG aus vorübergehendem Anschluss
Geschäftsdatenanfrage
Ende der ESV ohne Folgelieferung
Wiederinbetriebnahme
EoG aus Bilanzkreisschließung
EoG aufgrund Erlöschen der Zuordnungsermächtigung
Beendigung der Zuordnung
Fehlerkorrektur
Lieferbeginn und Abmeldung aus der Ersatzversorgung
Stammdatenänderung
Weggefallene Markt- bzw. Messlokation
Initialmeldung
Nicht bila.rel. Änderung vom LF
Nicht bila.rel. Änderung vom NB",,T,,transaktionsgrund,,,PROZESSLOGIK,"E01
E02
E03
ZD2","E01
E02
E03
ZD2","E01
E02
E03
ZD2","E01
Z33
Z41
ZG9
ZH1
ZH2
ZT4
ZT5","E01
Z33
Z41
ZG9
ZH1
ZH2
ZT4
ZT5","E01
Z33
Z41
ZG9
ZH1
ZH2
ZT4
ZT5",Z33,Z33,Z33,"E01
E03
ZD2","E01
E03
ZD2","E01
E03
ZD2","E06
Z02
Z36
Z37
Z39
ZC6
ZC7
ZT6
ZT7","E06
Z02
Z36
Z37
Z39
ZC6
ZC7
ZT6
ZT7","E06
Z02
Z36
Z37
Z39
ZC6
ZC7
ZT6
ZT7",,ZD0,ZD0,E05,E05,E05,Z40,Z40,Z26,ZC8,"ZC9
ZH0
ZH1",ZE6,ZE7,ZE7,ZE7,ZE8,ZE8,ZE8,ZE9,ZE9,ZF0,ZF0,ZG7,ZG7,ZG7,ZI9,ZI9,ZF3,ZF3,ZF4,ZF4,ZF4,ZS5,ZS5,ZS5,ZS5,ZF5,ZF5,ZF5,ZF6,ZF6,ZF6,ZF8,ZF8,ZG8,ZG8,ZG8,ZG8,ZG8,ZG8,ZJ1,ZJ1,ZJ1,"E03
ZR9","E03
ZR9","E03
ZR9","E01
E02
E03","E01
E02
E03","E01
E02
E03","E01
E02
E03","E01
E02
E03","E01
E02
E03","E01
E03
Z33
ZG9
ZH1
ZH2","E01
E03
Z33
ZG9
ZH1
ZH2","E01
E03
Z33
ZG9
ZH1
ZH2",Z40,ZE5,"Z15
ZE3
ZE4",ZE5,"Z15
ZE3
ZE4","Z15
ZE3
ZE4
ZE5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"STS+7++ZE8
STS+7++ZE9
STS+7++ZF0
STS+7++ZF3
STS+7++ZF4
STS+7++ZF5
STS+7++ZF6
STS+7++ZF7
STS+7++ZF8
STS+7++ZG7
STS+7++ZG8
STS+7++ZG9
STS+7++ZH0
STS+7++ZH1
STS+7++ZH2
STS+7++ZI9
STS+7++ZJ0
STS+7++ZJ1
STS+7++ZP3
STS+7++ZR9
STS+7++ZT4
STS+7++ZT5
STS+7++ZT6
STS+7++ZT7","Änderung vom MSB mit Abhängigkeiten
Bila.rel. Änderung vom LF
Bila.rel. Änderung vom NB mit Abhängigkeiten
Nicht bila.rel. Anfrage an LF
Nicht bila.rel. Anfrage an NB
Anfrage an MSB mit Abhängigkeiten
Bila.rel. Anfrage an LF
Bila.rel. Anfrage an NB ohne Abhängigkeiten
Bila.rel. Anfrage an NB mit Abhängigkeiten
Änderung vom MSB ohne Abhängigkeiten
Anfrage an MSB ohne Abhängigkeiten
Aufhebung einer zukünftigen Zuordnung wegen Auszug des Kunden
Aufhebung einer zukünftigen Zuordnung wegen Anmeldung eines anderen Lieferanten zu einem früheren Termin
Aufhebung einer zukünftigen Zuordnung wegen Stilllegung
Aufhebung einer zukünftigen Zuordnung wegen aufgehobenem Vertragsverhältnis
Änderung der komplexen Marktlokationsstruktur
Anfrage der Lokationsbündelstruktur
Anfrage der komplexen Marktlokationsstruktur
Stammdaten
Kündigung aufgrund Vertrag mit Anschlussnehmer
Ende wegen Kündigung durch LF
Ende wegen Kündigung durch Kunde/LFN
EoG wegen Kündigung durch LF
EoG wegen Kündigung durch Kunde/LFN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0250,27,STS,C,D,9,1,2,Transaktionsgundergänzung für Lieferende bei befristeter Anmeldung,"STS+Z17++E01
STS+Z17++E03","Ein-/Auszug (Umzug)
Wechsel",,T,,transaktionsgrundergaenzung,n.v.,,PROZESSLOGIK,S,S,S,,,,,,,,,,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0250,28,STS,C,D,9,9,2,Status der Antwort,STS+E01++A01:G_0003,Antwortcode aus den Entscheidungsbaumdiagrammen,,T,,antwortstatus:antwortstatusCodeliste,n.v.,,PROZESSLOGIK,,X,X,,X,X,,X,X,,X,X,,X,X,,,X,,X,X,,,,,,,,,X,,,X,,X,,X,,,X,,X,,X,,,X,,,X,X,,,X,,X,X,,X,,X,X,,,X,,X,X,,X,X,,X,X,,X,X,,X,X,,,,,,GS_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0250,29,STS,C,D,9,3,2,Status der Antwort des dritten Marktbeteiligten,STS+Z35++E17:G_0403,Antwortcode aus den Entscheidungsbaumdiagrammen (nur G_0009),,T,,antwortstatusdritter:antwortstatusdritterCodeliste,n.v.,,PROZESSLOGIK,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0250,30,STS,C,D,9,1,2,Bilanzkreiszuordnung zur Marktlokation,"STS+Z18+Z13
STS+Z18+Z14","gescheitert
erfolgreich",,T,,bilanzkreiszuordnung,"Z13 = "" GESCHEITERT""
Z14 = ""ERFOLGREICH""",,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0280,31,FTX,C,D,9,1,2,Bemerkung (Feld für allgemeine Hinweise),"FTX+ACB+++Die Ablehnung: erfolgte, da die Marktlokation:aufgrund eines:Brandes nicht:mehr existiert.",,,T,,freitext.freitext1 - 5,,,PROZESSLOGIK,K,K,X,K,,X,K,,X,,,,K,K,X,,,,K,,X,K,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0280,32,FTX,C,D,9,1,2,Beschreibung der Abweichung zur übermittelten Liste,"""FTX+ABO++Z03+Abweichung aufgrund von Zuordnungsfehler
FTX+ABO++Z05+Abweichung aufgrund von Zuordnungsfehler""","Ergänzende Marktlokation & Freitext
Änderung vorhanden & Freitext",,T,,"infoAbweichung

ergaenzteMarktlokation","Z03 = ergaenzteMarktlokation = true
Z05 = ergaenzteMarktlokation = false",,PROZESSLOGIK,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0280,33,FTX,C,D,9,1,2,Information zum Zählerstand,FTX+ADM++Z01,"Ankündigung, dass per MSCONS noch der Zählerstand übermittelt wird",,T,,zaehlerstandsinfo,Z01 = true,,INFO,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0290,34,AGR,C,D,9,2,2,Beauftragung oder Beendigung liegt vor,"AGR+9:Z04
AGR+9:Z06","Vertrag zwischen AN und MSB
Vertragsbeendigung liegt vor",,S,vertrag.messstellenbetriebsvertrag.vertragskonditionen,beauftragungMsb,"Z04 -> VERTRAG_AN_MSB
Z06 -> VERTRAGSBEENDIGUNG_MSB",,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0320,,SG5,C,D,999999,999999,2,Meldepunkt,,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Soll,Soll,Soll,Soll,Soll,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,35,LOC,M,M,1,1,2,Meldepunkt,LOC+172+XXXXXXXXXXX,Meldepunkt,,S,"auf jeweiliges BO Objekt:

marktlokation
messlokation","

marktlokationsId
messlokationsId",n.v.,maloDesignation,MALO_DATA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0320,,SG5,C,D,999999,999999,2,zukünftiger Meldepunkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,36,LOC,M,M,1,1,2,zukünftiger Meldepunkt,LOC+Z08+XXXXXXXXXXX,zukünftiger Meldepunkt,,S,"auf jeweiliges BO Objekt

marktlokation
messlokation",zukuenftigerMeldepunkt = true,,?,MALO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0350,,SG6,C,D,99,1,2,Prüfidentifikator,,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360,37,RFF,M,M,1,1,2,Prüfidentifikator,"RFF+Z13:44001
RFF+Z13:44002
RFF+Z13:44003
RFF+Z13:44004
RFF+Z13:44005
RFF+Z13:44006
RFF+Z13:44007
RFF+Z13:44008
RFF+Z13:44009
RFF+Z13:44010
RFF+Z13:44011
RFF+Z13:44012
RFF+Z13:44013
RFF+Z13:44014
RFF+Z13:44015
RFF+Z13:44016
RFF+Z13:44017
RFF+Z13:44018
RFF+Z13:44019
RFF+Z13:44020
RFF+Z13:44021
RFF+Z13:44022
RFF+Z13:44023
RFF+Z13:44024
RFF+Z13:44035","GeLi Gas / Anmeldung NN
GeLi Gas / Bestätigung Anmeldung
GeLi Gas / Ablehnung Anmeldung
GeLi Gas / Abmeldung NN
GeLi Gas / Bestätigung Abmeldung
GeLi Gas / Ablehnung Abmeldung
GeLi Gas / Abmeldung NN vom NB
GeLi Gas / Bestätigung Abmeldung vom NB
GeLi Gas / Ablehnung Abmeldung vom NB
GeLi Gas / Abmeldeanfrage des NB
GeLi Gas / Bestätigung Abmeldeanfrage
GeLi Gas / Ablehnung Abmeldeanfrage
GeLi Gas / Anmeldung EoG
GeLi Gas / Bestätigung EoG Anmeldung
GeLi Gas / Ablehnung EoG Anmeldung
GeLi Gas / Kündigung beim alten Lieferanten
GeLi Gas / Bestätigung Kündigung
GeLi Gas / Ablehnung Kündigung
GeLi Gas / Bestandsliste zugeordnete Marktlokationen
GeLi Gas / Änderungsmeldung zur Bestandsliste
GeLi Gas / Antwort auf Änderungsmeldung zur Bestandsliste
GeLi Gas / Anfrage nach Stornierung
GeLi Gas / Bestätigung Anfrage Stornierung
GeLi Gas / Ablehnung Anfrage Stornierung
GeLi Gas / Antwort auf die Geschäftsdatenanfrage",,T,,pruefidentifikator,n.v.,,PROZESSLOGIK,44001,44002,44003,44004,44005,44006,44007,44008,44009,44010,44011,44012,44013,44014,44015,44016,44017,44018,44019,44020,44021,44022,44023,44024,44025,44026,44027,44028,44029,44030,44031,44032,44033,44034,44035,44036,44037,44038,44039,44040,44041,44042,44043,44044,44045,44046,44047,44048,44049,44050,44051,44052,44053,44054,44055,44056,44057,44058,44059,44060,44061,44062,44063,44064,44065,44066,44067,44068,44069,44070,44071,44072,44073,44074,44075,44076,44077,44078,44079,44080,44081,44082,44083,44084,44085,44086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"RFF+Z13:44036
RFF+Z13:44037
RFF+Z13:44038
RFF+Z13:44039
RFF+Z13:44040
RFF+Z13:44041
RFF+Z13:44042
RFF+Z13:44043
RFF+Z13:44044
RFF+Z13:44051
RFF+Z13:44052
RFF+Z13:44053
RFF+Z13:44060
RFF+Z13:44096
RFF+Z13:44097
RFF+Z13:44101
RFF+Z13:44102
RFF+Z13:44103
RFF+Z13:44104
RFF+Z13:44105
RFF+Z13:44109
RFF+Z13:44111
RFF+Z13:44112
RFF+Z13:44113
RFF+Z13:44115","GeLi Gas / Informationsmeldung über existierende Zuordnung
GeLi Gas / Informationsmeldung zur Beendigung der Zuordnung
GeLi Gas / Informationsmeldung zur Aufhebung einer zuk. Zuordnung
WiM Gas / Kündigung MSB
WiM Gas / Bestätigung Kündigung MSB
WiM Gas / Ablehnung Kündigung MSB
WiM Gas / Anmeldung MSB
WiM Gas / Bestätigung Anmeldung MSB
WiM Gas / Ablehnung Anmeldung MSB
WiM Gas / Ende MSB
WiM Gas / Bestätigung Ende MSB
WiM Gas / Ablehnung Ende MSB
WiM Gas / Antwort auf die MSB Geschäftsdatenanfrage
TSIMSG / Deklarationsliste an MGV
TSIMSG / Deklarationsliste an BKV
NBW Gas / Stammdaten zur Messlokation
NBW Gas / Aktualisierte Stammdaten zur Messlokation
NBW Gas / Stammdaten zur verbrauchenden Marktlokation
NBW Gas / Aktualisierte Stammdaten zur verbrauchenden Marktlokation
NBW Gas / Ablehnung auf Stammdaten zur verbrauchenden Marktlokation
SDÄ Gas / Nicht bila.rel. Änderung vom LF an NB
SDÄ Gas / Antwort auf Änderung vom LF AG an AF
SDÄ Gas / Nicht bila.rel. Änderung vom NB an LF
SDÄ Gas / Nicht bila.rel. Änderung vom NB an MSB
SDÄ Gas / Antwort auf Änderung vom NB AG an NB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"RFF+Z13:44116
RFF+Z13:44117
RFF+Z13:44119
RFF+Z13:44120
RFF+Z13:44121
RFF+Z13:44123
RFF+Z13:44124
RFF+Z13:44137
RFF+Z13:44138
RFF+Z13:44139
RFF+Z13:44140
RFF+Z13:44142
RFF+Z13:44143
RFF+Z13:44145
RFF+Z13:44146
RFF+Z13:44147
RFF+Z13:44148
RFF+Z13:44149
RFF+Z13:44150
RFF+Z13:44151
RFF+Z13:44152
RFF+Z13:44156
RFF+Z13:44157
RFF+Z13:44159
RFF+Z13:44160","SDÄ Gas / Änderung vom MSB an NB
SDÄ Gas / Änderung vom MSB NB an LF
SDÄ Gas / Antwort auf Änderung vom MSB AG an AF
SDÄ Gas / Bila.rel. Änderung vom LF an NB
SDÄ Gas / Antwort auf bila.rel. Änderung vom LF NB an LF
SDÄ Gas / Bila.rel. Änderung vom NB mit Abhängigkeiten NB an LF / MSB
SDÄ Gas / Antwort auf bila.rel. Änderung vom NB mit Abhängigkeiten AG an NB
SDÄ Gas / Nicht bila.rel. Anfrage an LF NB [Berechtigt] an LF
SDÄ Gas / Antwort auf nicht bila.rel. Anfrage an LF LF an NB
SDÄ Gas / Nicht bila.rel. Anfrage an NB LF an NB
SDÄ Gas / Nicht bila.rel. Anfrage an NB MSB an NB
SDÄ Gas / Antwort auf nicht bila.rel. Anfrage an NB NB an AF
SDÄ Gas / Anfrage an MSB mit Abhängigkeiten LF an NB
SDÄ Gas / Antwort auf Anfrage an MSB mit Abhängigkeiten NB an AF
SDÄ Gas / Ablehnung der Anfrage an MSB mit Abhängigkeiten NB an AF
SDÄ Gas / Anfrage an MSB mit Abhängigkeiten NB [Verteiler] an MSB
SDÄ Gas / Anfrage an MSB mit Abhängigkeiten
SDÄ Gas / Antwort auf Anfrage an MSB mit Abhängigkeiten MSB an NB
SDÄ Gas / Bila.rel. Anfrage an LF NB an LF
SDÄ Gas / Antwort auf bila.rel. Anfrage an LF LF an NB
SDÄ Gas / Ablehnung der bila.rel. Anfrage an LF LF an NB
SDÄ Gas / Bila.rel. Anfrage an NB mit Abhängigkeiten
SDÄ Gas / Antwort auf bila.rel. Anfrage an NB mit Abhängigkeiten
SDÄ Gas / Änderung vom MSB ohne Abhängigkeiten MSB an NB
SDÄ Gas / Änderung vom MSB ohne Abhängigkeiten NB an LF / MSB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"RFF+Z13:44161
RFF+Z13:44162
RFF+Z13:44163
RFF+Z13:44164
RFF+Z13:44165
RFF+Z13:44166
RFF+Z13:44167
RFF+Z13:44168
RFF+Z13:44169
RFF+Z13:44170
RFF+Z13:44172
RFF+Z13:44175
RFF+Z13:44176
RFF+Z13:44180
RFF+Z13:44181
RFF+Z13:44182","SDÄ Gas / Änderung vom MSB ohne Abhängigkeiten AG an AF
SDÄ /Anfrage an MSB ohne Abhängigkeiten von LF / MSB an NB
SDÄ Gas / Antwort auf Anfrage an MSB ohne Abhängigkeiten LF / MSB an NB
SDÄ Gas / Ablehnung auf Anfrage an MSB ohne Abhängigkeiten LF / MSB an NB
SDÄ Gas /Anfrage an MSB ohne Abhängigkeiten NB [Verteiler] an MSB
SDÄ Gas /Anfrage an MSB ohne Abhängigkeiten NB [Berechtigter] an MSB
SDÄ Gas / Antwort auf Anfrage an MSB ohne Abhängigkeiten MSB an NB
WiM Gas / Verpflichtungsanfrage / Aufforderung
WiM Gas / Bestätigung Verpflichtungsanfrage
WiM Gas / Ablehnung Verpflichtungsanfrage
SDÄ Gas / Anfrage an MSB mit Abhängigkeit MSB an NB
SDÄ Gas / Änderung der Marktlokationsstruktur NB an LF
SDÄ Gas / Antwort auf Änderung der Marktlokationsstruktur LF an NB
SDÄ Gas / Anfrage der komplexen Marktlokationsstruktur LF an NB
SDÄ Gas / Antwort auf Anfrage der komplexen Marktlokationsstruktur NB an LF
SDÄ Gas / Ablehnung der Anfrage der komplexen Marktlokationsstruktur NB an LF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0350,,SG6,C,D,99,1,2,Referenz Vorgangsnummer (aus Anfragenachricht),,,,,,,,,,,Muss,Muss,,Muss,Muss,,Muss,Muss,,Muss,Muss,,Muss,Muss,,Muss,Muss,,Muss,Muss,,,Muss,,,,,,Muss,,,Muss,,Muss,,Muss,,,Muss,,Muss,,Soll,,,Muss,,,Muss,Muss,,,Muss,,Muss,Muss,,Muss,,Muss,Muss,,,Muss,,Muss,Muss,,Muss,Muss,,Muss,Muss,,Muss,Muss,,Muss,Muss,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360,38,RFF,M,M,1,1,2,Referenz Vorgangsnummer (aus Anfragenachricht),RFF+TN:XXXXXXXXXX,Vorgangsnummer Anfragenachricht,,T,,anfragereferenznummer,,,PROZESSLOGIK,,X,X,,X,X,,X,X,,X,X,,X,X,,X,X,,X,X,,,X,,,,,,X,,,X,,X,,X,,,X,,X,,X,,,X,,,X,X,,,X,,X,X,,X,,X,X,,,X,,X,X,,X,X,,X,X,,X,X,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0350,,SG6,C,D,99,1,2,Referenz auf zu stornierende Vorgangsnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360,39,RFF,M,M,1,1,2,Referenz auf zu stornierende Vorgangsnummer,RFF+ACW:XXXXXXXXXX,Vorgangsnummer einer vorausgegangenene Nachricht,,T,,vorgangsreferenznummer,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0350,,SG6,C,D,99,1,2,Referenz auf eine vorangegangene Anfrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360,40,RFF,M,M,1,1,2,Referenz auf eine vorangegangene Anfrage,RFF+AAV:XXXXXXXXXX,Vorgangsnummer der Anfrage,,T,,anfragereferenznummer,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0350,,SG6,C,D,99,1,2,Termine der Marktlokation,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,Soll,Soll,,,,,,,,,,Soll S,Soll S,,,,Kann,Soll,Kann,,Soll,,,,,,,,,,,,,Kann S,Soll S,,Soll S,Kann S,Soll S,,,,,,,,Muss,,Muss,Muss,,,,,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360,41,RFF,M,M,1,1,2,Referenz auf die ID der Marktlokation für Termine der Marktlokation,RFF+Z18:XXXXXXXXXXX,Marktlokation,,S,marktlokation,marktlokationsId,,maloDesignation,MALO_DATA,X,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,X,X,,,,,,,,,,X,X,,,,X,X,X,,X,,,,,,,,,,,,,X,X,,X,X,X,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
