Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,31001,31002,31003,31009,31004,31005,31006,31007,31008,31010,31011,,,,,,,,,,,,
0060,14,IMD,C,R,1,1,0,Rechnungstyp,"IMD++ABR+Z06
IMD++ABR+Z07
IMD++ABS+Z06
IMD++ABS+Z07
IMD++JVR+Z06
IMD++JVR+Z07
IMD++MVR+Z06
IMD++MVR+Z07
IMD++WIM+Z06
IMD++WIM+Z07
IMD++ZVR+Z06
IMD++ZVR+Z07
IMD++13I+Z06
IMD++13I+Z07
IMD++13R+Z06
IMD++13R+Z07
IMD++MMM+Z06
IMD++MMM+Z07
IMD++MSB+Z06
IMD++MSB+Z07
IMD++NAP+Z06
IMD++NAP+Z07
IMD++Z43
IMD++Z44
IMD++Z45
IMD++SOR
IMD++TEC","Abschlussrechnung Erzeugung
Abschlussrechnung Verbrauch
Abschlagsrechnung Erzeugung
Abschlagsrechnung Verbrauch
Turnusrechnung Erzeugung
Turnusrechnung Verbrauch
Monatsrechnung Erzeugung
Monatsrechnung Verbrauch
Rechnungs für WIM Erzeugung
Rechnungs für WIM Verbrauch
Zwischenrechnung Erzeugung
Zwischenrechnung Verbrauch
Integrierte 13. Rechnung Erzeugung
Integreirte 13. Rechnung Verbrauch
13. Rechnung Erzeugung
13. Rechnung Verbrauch
Mehr-/MIndermengenabrechnung  Erzeugung
Mehr-/MIndermengenabrechnung Verbrauch
Rechung für Messstellenbetrieb Erzeugung
Rechung für Messstellenbetrieb Verbrauch
Kapazitätsrechnung Erzeugung
Kapazitätsrechnung Verbrauch
Rechnung für Sperren und Wiederinbetriebnahme
Verzugskostenrechnung
Blindarbeitrechnung
Sonderrechnung
Abrechnung von Technik",S,rechnung,"rechnungstyp
energierichtung","ABR -> ABSCHLUSSRECHNUNG
ABS -> ABSCHLAGSRECHNUNG
JVR -> TURNUSRECHNUNG
KON -> ABRECHNUNG_VON_KONFIGURATIONEN_UNIVERSALBESTELLPROZESS 
MVR -> MONATSRECHNUNG
WIM -> WIMRECHNUNG
ZVR -> ZWISCHENRECHNUNG
13I -> INTEGRIERTE_13TE_RECHNUNG
13R -> ZUSAETZLICHE_13TE_RECHNUNG
MMM -> MEHRMINDERMENGENRECHNUNG
MSB -> MSBRECHNUNG
NAP -> KAPAZITAETSRECHNUNG
Z43 -> SPERRUNG_INBETRIEBNAHME
Z44 -> VERZUGSKOSTEN
Z45 -> BLINDARBEIT
SOR -> SONDERRECHNUNG
TEC -> ABRECHNUNG_VON_TECHNIK",,,ABS,"ABR
JVR
MVR
ZVR
13I
13R
SOR",WIM,MSB,X,MMM,MMM,MMM,MMM,NAP,"Z43
Z44
Z45",,,,,,,,,,,,
,,,,,,,,,,,,,,"Z06 -> EINSP
Z07 -> AUSSP",,,,,,,,,,,,,,,,,,,,,,,,,
0070,15,FTX,C,D,99,1,1,Meldeinformationen,FTX+REG++RCH,Reverse Charge gemäß §13b UStG / Steuerschuldnerschaft des Leistungsempfängers,S,rechnung,istReverseCharge,true/false,,,S,S,S,S,S,S,S,S,S,S,S,,,,,,,,,,,,
0090,16,GEI,C,D,10,10,1,Spezifikation der Sonderrechnung,"GEI+Z01+Z01
GEI+Z01+Z02
GEI+Z01+Z03
GEI+Z01+Z04
GEI+Z01+Z05
GEI+Z01+Z06
GEI+Z01+Z07
GEI+Z01+Z08
GEI+Z01+Z09
GEI+Z01+Z10","Konzessionsabgabe (Testat)
Individuelle Vereinbarung für atypische und energieintensive Netznutzung
Individuelle Vereinbarung für singuläre Netznutzung
KWKG-Umlage
Offshore-Netzumlage
§ 19 StromNEV-Umlage
§18 AbLaV
Konzessionsabgabe (Wechsel auf Lastgangmessung)
Privilegierung nach EnFG
Konzessionsabgabe (weitergeleitete Mengen)",S,rechnung,sonderrechnungsarten[],"Z01 -> KONZESSIONSABGABE_TESTAT
Z02 -> INDIVIDUELL_ATYPISCH
Z03 -> INDIVIDUELL_SINGULAER
Z04 -> KWKG_UMLAGE
Z05 -> OFFSHORE_UMLAGE
Z06 -> P19_STROM_NEV_UMLAGE
Z07 -> P18_ABLAV
Z08 -> KONZESSIONSABGABE_WECHSEL_RLM
Z09 -> PRIVILEGIERUNG_NACH_ENFG
Z10 -> KONZESSIONSABGABE_WEITERGELEITETE_MENGEN",,,,X,,,,,,,,,,,,,,,,,,,,,
0120,,SG1,C,R,99999,1,1,Prüfidentifikator,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,,,,,,,,,,,
0130,17,RFF,M,M,1,1,1,Prüfidentifikator,"RFF+Z13:31001
RFF+Z13:31002
RFF+Z13:31003
RFF+Z13:31004
RFF+Z13:31005
RFF+Z13:31006
RFF+Z13:31007
RFF+Z13:31008
RFF+Z13:31009
RFF+Z13:31010
RFF+Z13:31011","Abschlagsrechnung
NN-Rechnung
WiM-Rechnung
Stornorechnung
MMM-Rechnung
MMM-selbst ausgestellte Rechnung
Aggregierte MMM-Rechnung
Aggregierte MMM-selbst ausgestellte Rechnung
MSB-Rechnung
Kapazitätsrechnung
Rechnung sonstige Leistung",T,,pruefidentifikator,,,,31001,31002,31003,31009,31004,31005,31006,31007,31008,31010,31011,,,,,,,,,,,,
0120,,SG1,C,D,99999,1,1,Referenz auf Ursprungsrechnungsnummer,,,,,,,,,,Muss,,,Muss,,,,,,Muss,,,,,,,,,,,,
0130,18,RFF,M,M,1,1,1,Referenz auf Ursprungsrechnungsnummer,RFF+OI:AFN5834569523,Ursprungsrechnungsnummer,S,rechnung,originalRechnungsnummer,,,,,X,,,X,,,,,,X,,,,,,,,,,,,
0140,19,DTM,C,R,5,1,2,Referenzdatum,DTM+171:CCYYMMDDHHMMZZZ:303,Nachrichtendatum Referenznachricht,S,rechnung,referenzNachrichtendatum,,,,,X,,,X,,,,,,X,,,,,,,,,,,,
0120,,SG1,C,D,99999,1,1,Referenz auf Nummer des zugehörigen Dokuments,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,Muss,,Muss,,,,,,,,,,,,
