Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,31001,31002,31003,31009,31004,31005,31006,31007,31008,31010,31011,,,,,,,,,,,,
1810,46,PCD,M,M,1,1,3,Prozentangabe des Abschlags,PCD+3:10,Abschlag in Prozent,S,rechnung.rechnungspositionen.abschlag,prozent,,,,,X,,,,,,,,,,,,,,,,,,,,,
1830,,SG42,C,D,2,1,3,Bemessungsgrundlage des Gemeinderabatts,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,
1840,47,MOA,M,M,1,1,3,Bemessungsgrundlage des Gemeinderabatts,MOA+25:536,Bemessungsgrundlage des Gemeinderabatts,S,rechnung.rechnungspositionen.gemeinderabatt,bemessungsgrundlage,,,,,X,,,,,,,,,,,,,,,,,,,,,
1830,,SG42,C,D,2,1,3,Gemeinderabatt der Position,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,
1840,48,MOA,M,M,1,1,3,Gemeinderabatt der Position,MOA+Z01:53.6,Gemeinderabatt der Position Betrag,S,rechnung.rechnungspositionen.gemeinderabatt,wert,,,,,X,,,,,,,,,,,,,,,,,,,,,
1720,,SG39,C,D,30,3,2,Zuschlag,,,,, ,,,,,Soll,,,,,,,,,,,,,,,,,,,,,
1730,49,ALC,M,M,1,1,2,Zuschlag,"ALC+C+:Z02
ALC+C+:Z03
ALC+C+:Z04
ALC+C+:Z05","Umspannungszuschlag
allein genutzte Betriebsmittel nach § 19, Absatz 3 Stromnetzentgeltverordnung
Anpassung nach § 19, Absatz 2 Stromnetzentgeltverordnung
Anpassung Pauschale Netzentgeltreduzierung nach § 14a EnWG auf Höhe der NNE",S,rechnung.rechnungsposition.zuschlag,typ,"Z02 -> UMSPANNUNGSZUSCHLAG
Z03 -> BETRIEBSMITTEL_P19_STROM_NEV
Z04 -> ANPASSUNG_P19_STROM_NEV
Z05 -> ANPASSUNG_PAUSCHALE_NETZENTGELTREDUZIERUNG_NACH_P14A_ENWG_AUF_HOEHE_DER_NNE
",,,,X,,,,,,,,,,,,,,,,,,,,,
1800,,SG41,C,R,1,1,3,Prozentangabe des Zuschlags,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,
1810,50,PCD,M,M,1,1,3,Prozentangabe des Zuschlags,PCD+3:10,Zuschlag in Prozent,S,rechnung.rechnungsposition.zuschlag,prozent,,,,,X,,,,,,,,,,,,,,,,,,,,,
2180,51,UNS,M,M,1,1,0,Abschnitts-Kontrollsegment,UNS+S,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
2200,,SG50,M,R,100,1,1,Rechnungsbetrag (inkl. USt.),,,,,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
2210,52,MOA,M,M,1,1,1,Rechnungsbetrag,MOA+77:11900,Rechnungsbetrag,S,rechnung.gesamtbrutto,"wert
waehrung",,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
2200,,SG50,M,D,100,20,1,Vorausbezahlter Betrag (inkl. USt.),,,,,,,,,,,,,Soll,,,,,Soll,,,,,,,,,,,,,
2210,53,MOA,M,M,1,1,1,Vorausbezahlter Betrag,MOA+113:175,Vorausbezahlter Betrag (inkl. USt.),S,rechnung.vorauszahlungen.betrag,wert,,,,,,,,X,,,,,X,,,,,,,,,,,,,
2220,,SG51,C,D,1,1,2,Referenz auf Vorgängerrechnung,,,,,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,
2230,54,RFF,M,R,1,1,2,Referenz auf Vorgängerrechnung,RFF+AFL:RE12435422,Referenz Vorgängerrechnung,S,rechnung,referenzVorgaengerrechnung,,,,,,,,,,,,,X,,,,,,,,,,,,,
2240,55,DTM,C,R,5,1,3,Datum der Vorgängerrechnung,DTM+3:CCYYMMDDHHMMZZZ:303,Datum der Vorgängerrechnung,S,rechnung,datumVorgaengerrechnung,,,,,,,,,,,,,X,,,,,,,,,,,,,
2200,,SG50,M,D,100,1,1,Gemeinderabatt,,,,,,,,,,,,,Soll,,,,,,,,,,,,,,,,,,
2210,56,MOA,M,M,1,1,1,Gemeinderabatt,MOA+Z01:1000,Gemeinderabatt,S,rechnung.gemeinderabatt,wert,,,,,,,,X,,,,,,,,,,,,,,,,,,
2200,,SG50,M,R,100,1,1,Fälliger Betrag (inkl. USt.),,,,,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
2210,57,MOA,M,M,1,1,1,Fälliger Betrag,MOA+9:33,Fälliger Betrag  (inkl. USt.),S,rechnung.zuZahlen,"wert
waehrung",,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
2250,,SG52,C,R,10,10,1,Steuerangaben u. -mengen (Summen),,,,,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
2260,58,TAX,M,M,1,1,1,Umsatzsteuer der Rechnung,"TAX+7+VAT+++:::19+S
TAX+7+VAT+++:::0+O
TAX+7+VAT+++:::0+AE","Umsatzsteuer der Rechung Einheitssatz
Umsatzsteuer der Rechung nicht steuerbar
Umsatzsteuer der Rechung Reverse Charge",S,rechnung.steuerbetraege,steuerkennzeichen,"19+S -> UST_19
16+S -> UST_16
7+S -> UST_7
0+O -> VST_0
19+O -> VST_19
16+O -> VST_16
7+O -> VST_7
0+AE -> RCV",,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
2270,59,MOA,C,D,9,1,2,Vorausbezahlter Betrag (steuersatzbezogen),MOA+113:116,Vorausbezahlter Betrag (inkl. USt.) (steuersatzbezogen),S,rechnung.steuerbetraege,basiswertVorausbezahlt,,,,,,,,S,,,,,S,,,,,,,,,,,,,
2270,60,MOA,C,D,9,1,2,Vorausbezahlte Steuern (steuersatzbezogen),MOA+115:19,Vorausbezahlte Steuern (USt.-Anteil) (steuersatzbezogen),S,rechnung.steuerbetraege,steuerwertVorausbezahlt,,,,,,,,S,,,,,S,,,,,,,,,,,,,
2270,61,MOA,C,R,9,1,2,Besteuerungsgrundlage (steuersatzbezogen),MOA+125:28.45,Besteuerungsgrundlage (steuersatzbezogen),S,rechnung.steuerbetraege,basiswert,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
2270,62,MOA,C,R,9,1,2,Steuerbetrag (steuersatzbezogen),MOA+161:4.55,Steuerbetrag (steuersatzbezogen) ,S,rechnung.steuerbetraege,steuerwert,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
2330,63,UNT,M,M,1,1,0,Nachrichtenende,UNT+47+1,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
