Nummer,,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,25001,25003,25002,25004,25005,25006,25007,25008,25009
0300,16,STS,C,D,9,1,2,Status der Berechnungsformel,STS+Z23+Z33+2,"Z33 Berechnungsformel angefügt
Z34 Berechnungsformel muss beim Absender angefragt werden
Z40 Berechnungsformel besitzt keine Rechenoperation
Z41 Berechnungsformel nicht erforderlich",S,berechnungsformel,"notwendigkeit

gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z33 -> BERECHNUNGSFORMEL_NOTWENDIG
Z34 -> BERECHNUNGSFORMEL_MUSS_ANGEFRAGT_WERDEN
Z40 -> BERECHNUNGSFORMEL_TRIVIAL
Z41 -> BERECHNUNGSFORMEL_NICHT_NOTWENDIG",,,X,,,,,,,,
0300,17,STS,C,D,9,1,2,Status der Nutzung von Definitionen,"STS+Z36+Z45
STS+Z36+Z46","Z45 Definitionen werden verwendet
Z46 Definitionen werden nicht verwendet",S,"zaehlzeitdefinition (RFF+Z13 25004, 25005)
schaltzeitdefinition (RFF+Z13 25006, 25008)
leistungskurvendefinition (RFF+Z13 25007, 25009)",notwendigkeit,"Z45 -> DEFINITIONEN_WERDEN_VERWENDET
Z46 -> DEFINITIONEN_WERDEN_NICHT_VERWENDET",,,,,,X,,,,,
0330,18,FTX,C,D,9,9,2,Bemerkung (Feld für allgemeine Hinweise),FTX+ACB++3+X:X:X:X:X,"ACB Zusätzliche Informationen (für allgemeine Hinweise)
+
Zeitraum-ID
+
Freier Text
Freier Text
Freier Text
Freier Text
Freier Text",T,antwortStatusZeitraum[],"zeitraumId
freitext",,,,,,,,,,,,
0340,,SG6,C,R,99999,1,2,Prüfidentifikator,,,,,,,,,Muss,Muss,Muss,Muss,Muss,,,,
0350,19,RFF,M,M,1,1,2,Prüfidentifikator,"RFF+Z13:25001
RFF+Z13:25002
RFF+Z13:25003
RFF+Z13:25004
RFF+Z13:25005
RFF+Z13:25006
RFF+Z13:25007
RFF+Z13:25008
RFF+Z13:25009","Berechnungsformel
Ablehnung Berechnungsformel
Zustimmung Berechnungsformel
Übersicht Zählzeitdefinitionen
Ausgerollte Zählzeitdefinition
Übersicht Schaltzeitdefinitionen
Übersicht Leistungskurvendefinitionen
Ausgerollte Schaltzeitdefinition
Ausgerollte Leistungskurvendefinition",T,,pruefidentifikator,,,,25001,25003,25002,25004,25005,,,,
0340,,SG6,C,D,99999,1,2,Referenz auf Reklamation,,,,,,,,,,,,Soll,Soll,,,,
0350,20,RFF,M,M,1,1,2,Referenz auf Reklamation,RFF+AGI:FGEFW566TTDF123E,Beantragungsnummer,T,,anfrageReferenz,,,,,,,X,X,,,,
0340,,SG6,C,D,99999,1,2,Referenz-Vorgangsnummer (aus Berechnungsformel),,,,,,,,,,Muss,Muss,,,,,,
0350,21,RFF,M,M,1,1,2,Referenz-Vorgangsnummer (aus Berechnungsformel),RFF+TN:XXXXXXXXXX,Vorgangsnummer Anfragenachricht,T,,anfragereferenznummer,,,,,X,X,,,,,,
0340,,SG6,C,D,99999,9,2,Verwendungszeitraum der Daten,,,,,,,,,,Muss,Muss,,,,,,
0350,22,RFF,M,M,1,1,2,Verwendungszeitraum der Daten,RFF+Z49::1,"Z49 Gültige Daten 
Z53 Keine Daten",S,VERWENDUNGSZEITRAUM[],"datenqualitaet
zeitraumId","Z49 -> GUELTIGE_DATEN
Z53 -> KEINE_DATEN",,,,,,,,,,,
0360,23,DTM,C,R,9,1,3,Verwendung der Daten ab,DTM+Z25:202704012200???+00:303,Z25 Verwendung der Daten ab,S,VERWENDUNGSZEITRAUM[],verwendungAb,,,,,,,,,,,,
0360,24,DTM,C,D,9,1,3,Verwendung der Daten bis,DTM+Z26:202806012200?+00:303,Z26 Verwendung der Daten bis,S,VERWENDUNGSZEITRAUM[],verwendungBis,,,,,,,,,,,,
0400,,SG8,C,D,99999,1,2,Energiemenge der Markt- bzw. Netzlokation,,,,,,,,,Muss,,,,,,,,
0410,25,SEQ,M,M,1,1,2,Energiemenge der Markt- bzw. Netzlokation,SEQ+Z36,Z36 Energiemenge der Markt- bzw. Netzlokation,,,,,,,X,,,,,,,,
0430,26,RFF,C,R,9,1,3,Referenz auf eine Zeitraum-ID,RFF+Z46:1,Z46 Referenz auf Zeitraum-ID,S,BERECHNUNGSFORMEL[],"gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)",,,,X,,,,,,,,
0430,27,RFF,C,R,9,1,3,Referenz auf einen Rechenschritt,RFF+Z23:3,Rechenschrittidentifikator,S,berechnungsformel,rechenschrittId,,,,X,,,,,,,,
0400,,SG8,C,D,99999,99999,2,Bestandteil des Rechenschritts,,,,,,,,,Muss,,,,,,,,
0410,28,SEQ,M,M,1,1,2,Bestandteil des Rechenschritts,SEQ+Z37+1,Z37 Bestandteil des Rechenschritts,S,berechnungsformel.rechenschritte,rechenschrittBestandteilId,,,,X,,,,,,,,
0430,29,RFF,C,R,9,1,3,Referenz auf eine Zeitraum-ID,RFF+Z46:6,Z46 Referenz auf Zeitraum-ID,S,BERECHNUNGSFORMEL[],"gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)",,,,X,,,,,,,,
0430,30,RFF,C,D,9,1,3,Referenz auf die ID einer Messlokation,RFF+Z19:XXXXXXXXXXXXXXXXXXXXX,Messlokation,S,berechnungsformel.rechenschritte,messlokationsId,,,,X,,,,,,,,
0430,31,RFF,C,D,9,1,3,Referenz auf einen Rechenschritt,RFF+Z23:1,Rechenschrittidentifikator,S,berechnungsformel.rechenschritte,referenzRechenschrittId,,,,X,,,,,,,,
0470,,SG9,C,R,99,1,3,Mathematischer Operator,,,,,,,,,Muss,,,,,,,,
0480,32,CCI,M,M,1,1,3,Mathematischer Operator,CCI+++Z86,Mathematischer Operator,,,,,,,X,,,,,,,,
0490,33,CAV,C,R,99,1,4,Operator / Operation,"CAV+Z69
CAV+Z70
CAV+Z80
CAV+Z81
CAV+Z82
CAV+Z83","Addition
Subtraktion
Divisor
Dividend
Faktor
Positivwert",S,berechnungsformel.rechenschritte,operation,"Z69 -> ADDITION
Z70 -> SUBTRAKTION
Z80 -> DIVISION
Z81 -> DIVIDEND
Z82 -> MULTIPLIKATION
Z83 -> POSITIVWERT",,,X,,,,,,,,
0470,,SG9,C,D,99,1,3,Energieflussrichtung,,,,,,,,,Muss,,,,,,,,
0480,34,CCI,M,M,1,1,3,Energieflussrichtung,CCI+++Z87,Energieflussrichtung,,,,,,,X,,,,,,,,
0490,35,CAV,C,R,99,1,4,Energieflussrichtung,"CAV+Z71
CAV+Z72","Verbrauch
Erzeugung",S,berechnungsformel.rechenschritte,energieflussrichtung,"Z71 -> AUSSP
Z72 -> EINSP",,,X,,,,,,,,
0470,,SG9,C,D,99,1,3,Verlustfaktor Trafo,,,,,,,,,Soll ,,,,,,,,
0480,36,CCI,M,M,1,1,3,Verlustfaktor Trafo,CCI+++Z16,Verlustfaktor Trafo,,,,,,,X,,,,,,,,
0490,37,CAV,C,R,99,1,4,Verlustfaktor Trafo,CAV+Z28:::1.04,Verlustfaktor,S,berechnungsformel.rechenschritte,verlustfaktorTrafo,,,,X,,,,,,,,
0470,,SG9,C,D,99,1,3,Verlustfaktor Leitung,,,,,,,,,Soll ,,,,,,,,
0480,38,CCI,M,M,1,1,3,Verlustfaktor Leitung,CCI+++ZB2,Verlustfaktor Leitung,,,,,,,X,,,,,,,,
0490,39,CAV,C,R,99,1,4,Verlustfaktor Leitung,CAV+Z28:::1.04,Verlustfaktor,S,berechnungsformel.rechenschritte,verlustfaktorLeitung,,,,X,,,,,,,,
0470,,SG9,C,D,99,1,3,Aufteilungsfaktor Energiemenge,,,,,,,,,,,,,,,,,
0480,40,CCI,M,M,1,1,3,Aufteilungsfaktor Energiemenge,CCI+++ZG6',ZG6 Aufteilungsfaktor Energiemenge,,,,,,,,,,,,,,,
0490,41,CAV,C,R,99,1,4,Aufteilungsfaktor Energiemenge,CAV+ZH6:::20',ZH6 Aufteilungsfaktor Energiemenge,S,berechnungsformel.rechenschritte,aufteilungsfaktorEnergiemenge,,,,,,,,,,,,
0400,,SG8,C,D,99999,99999,2,Zählzeitdefinition,,,,,,,,,,,,Muss,,,,,
0410,42,SEQ,M,M,1,1,2,Zählzeit,"SEQ+Z42
SEQ+Z43","Z42 Zählzeitdefinition
Z43 Ausgerollte Zählzeitdefinition",,,,,,,,,,X,,,,,
0420,43,DTM,C,D,9,1,3,Zählzeitänderungszeitpunkt,DTM+Z33:202110070605?+00:303',Z33 Zählzeitänderungszeitpunkt,S,zaehlzeitdefinition.zaehlzeiten,"aenderungszeitpunkt 

haeufigkeit
","

EINMALIG bei 401
JAEHRLICH bei 303",,,,,,,,,,,
0430,44,RFF,C,D,9,1,3,Zählendes Register,RFF+Z28:RZ1',Z28 Code des zählenden Registers,S,zaehlzeitdefinition.zaehlzeiten,register,,,,,,,,,,,,
0470,,SG9,C,R,99,1,3,Zählzeit,,,,,,,,,,,,Muss,,,,,
0480,45,CCI,M,M,1,1,3,Code der Zählzeitdefinition,CCI+Z39++ZZ1,Z39 Code der Zählzeitdefinition,S,zaehlzeitdefinition.zaehlzeiten,code,,,,,,,X,,,,,
0490,46,CAV,C,R,99,1,4,Häufigkeit der Übermittlung,"CAV+ZE0:::Z33
CAV+ZE0:::Z34","Z33 einmalig zu übermittelnde ausgerollte Definition
Z34 jährlich zu übermittelnde ausgerollte Definition",S,zaehlzeitdefinition.zaehlzeiten,haeufigkeit,"Z33 -> EINMALIG
Z34 -> JAEHRLICH",,,,,,X,,,,,
