Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,15001,15002,15003,15004,,,,,,,,,
1070,59,LIN,M,M,1,1,1,Erforderliches Produkt Ad-hoc-Steuerkanal,LIN+1+Z66,Z66 Erforderliches Produkt Ad-hoc-Steuerkanal,S,angebot.positionsdaten,positionsbezeichnung,,,,,,,soll,,,,,,,,,
1080,60,PIA,C,R,25,1,2,Erforderliches Produkt Ad-hoc-Steuerkanal,PIA+5+9991000000739:Z11,Z11 Produkt,S,AD_HOC_STEUERKANAL,konfigurationsprodukt,,,,,,,x,,,,,,,,,
1080,61,PIA,C,R,25,3,2,Artikel-ID,PIA+Z02+9991000000739-01:Z09,Z09 Artikel-ID,S,angebot.positionsdaten,artikelId (Z09 -> 1:1),,,,,,,x,,,,,,,,,
1060,,SG27,M,D,200000,1,1,Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,,,,,,,,,,,,,,,,,,,,,
1070,62,LIN,M,M,1,1,1,Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,LIN+1+Z67,Z67 Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,S,angebot.positionsdaten,positionsbezeichnung,,,,,,,soll,,,,,,,,,
1080,63,PIA,C,R,25,1,2,Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,PIA+5+9991000000739:Z11,Z11 Produkt,S,WERTE_NACH_TYP2,messprodukt,,,,,,,x,,,,,,,,,
1080,64,PIA,C,R,25,3,2,Artikel-ID,PIA+Z02+9991000000739-01:Z09',Z09 Artikel-ID,S,angebot.positionsdaten,artikelId (Z09 -> 1:1),,,,,,,x,,,,,,,,,
1080,65,PIA,C,D,25,23,2,OBIS Kennzahl für Werte nach Typ 2 Backend,PIA+5+1 1?:1.29.0:SRW,SRW OBIS Kennzahl,S,WERTE_NACH_TYP2.zaehlwerke,obisKennzahl,,,,,,,,,,,,,,,,
1360,,SG31,C,D,99,3,2,Preisangabe zur Position,,,,,,,,,,,,,,,,,,,,,
1370,66,PRI,M,M,1,1,2,Preisangaben,PRI+CAL:5.1234::Z01:1:H87,"CAL Berechnungspreis

Z01 Einrichtungspreis
Z02 Transaktionspreis
Z03 Betriebspreis

H87 Stück
DAY Tag",S,angebot.positionsdaten.positionspreis[],"wert
preisart
menge
bezugswert
","ENUM preisart:

Z01 = EINRICHTUNGSPREIS
Z02 = TRANSAKTIONSPREIS
Z03 = BETRIEBSPREIS

ENUM bezugswert:

DAY = TAG
H87 = STUECK",,,,,,,,,,,,,,,
1060,,SG27,M,D,200000,1,1,"Erforderliches Produkt Konfigurationserlaubnis für
Werte nach Typ 2 aus SMGW",,,,,,,,,,,,,,,,,,,,,
1070,67,LIN,M,M,1,1,1,"Erforderliches Produkt Konfigurationserlaubnis für Werte
nach Typ 2 aus SMGW",LIN+1+Z68,Z68 Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,S,angebot.positionsdaten,positionsbezeichnung,,,,,,,soll,,,,,,,,,
1080,68,PIA,C,R,25,1,2,"Erforderliches Produkt Konfigurationserlaubnis für Werte
nach Typ 2 aus SMGW",PIA+5+9991000000739:Z11,Z11 Produkt,S,WERTE_NACH_TYP2,konfigurationsprodukt,,,,,,,x,,,,,,,,,
1080,69,PIA,C,R,25,3,2,Artikel-ID,PIA+Z02+9991000000739-01:Z09',Z09 Artikel-ID,S,angebot.positionsdaten,artikelId (Z09 -> 1:1),,,,,,,x,,,,,,,,,
1230,,SG28,C,D,999,1,2,Änderungsmöglichkeit der Konfiguration im SMGW,,,,,,,,,,,,,,,,,,,,,
1240,70,CCI,M,M,1,1,2,Änderungsmöglichkeit der Konfiguration im SMGW,"CCI+Z54++ZF7'
CCI+Z54++ZF8'","ZF7 selbständige Änderungsmöglichkeit erforderlich
ZF8 selbständige Änderungsmöglichkeit nicht erforderlich",S,WERTE_NACH_TYP2,aenderungsmoeglichkeitKonfiguration,"ZF7 = ERFORDERLICH
ZF8 = NICHT_ERFORDERLICH",,,,,,x,,,,,,,,,
1230,,SG28,C,R,999,1,2,Schwellwerte,,,,,,,,,,,,,,,,,,,,,
1240,71,CCI,M,M,1,1,2,Schwellwerte,CCI+Z60++9991000001042:::207.22:168.81',Schwellwerte,S,WERTE_NACH_TYP2,"schwellwerte.konfigurationsprodukt
schwellwerte.obererSchwellwert
schwellwerte.untererSchwellwert",,,,,,,x,,,,,,,,,
1360,,SG31,C,D,99,3,2,Preisangabe zur Position,,,,,,,,,,,,,,,,,,,,,
1370,72,PRI,M,M,1,1,2,Preisangaben,PRI+CAL:5.1234::Z01:1:H87,"CAL Berechnungspreis

Z01 Einrichtungspreis
Z02 Transaktionspreis
Z03 Betriebspreis

H87 Stück
DAY Tag",S,angebot.positionsdaten.positionspreis[],"wert
preisart
menge
bezugswert
","ENUM preisart:

Z01 = EINRICHTUNGSPREIS
Z02 = TRANSAKTIONSPREIS
Z03 = BETRIEBSPREIS

ENUM bezugswert:

DAY = TAG
H87 = STUECK",,,,,,,,,,,,,,,
2270,73,UNS,M,M,1,1,0,Abschnitts-Kontrollsegment,UNS+S,S Trennung von Positions- und Summenteil,,,,,,,,,,,,,,,,,,,
2340,74,UNT,M,M,1,1,0,Nachrichten-Endesegment,UNT+76+1,,,,,,,,,,,,,,,,,,,,
