0030,7,DTM,M,D,35,1,1,Startdatum oder Zeitpunkt,DTM+469:CCYYMMDDHHMMZZZ:303,"Startdatum oder -zeitpunkt, frühestes/r",S,auftrag,startdatum,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
0030,8,DTM,M,D,35,1,1,Endedatum oder Zeitpunkt,DTM+472:CCYYMMDDHHMMZZZ:303',"Endedatum oder -zeitpunkt, spätestes/r",S,auftrag,enddatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0060,9,IMD,C,D,999,1,1,Abonnement,"IMD++Z01
IMD++Z02
IMD++Z03","Start Abo
Ende Abo
ohne Abo",S,anfrage,abonnement,"Z01 = START_ABO
Z02 = ENDE_ABO
Z03 = OHNE_ABO
Z10 = ABRECHNUNGSBRENNWERT_UND_ZUSTANDSZAHL
Z11 = LASTGANGDATEN
Z12 = ZAEHLERSTAENDE
Z13 = WERTEERMITTLUNG
Z35 = ENERGIEMENGE_EINZELWERT
Z53 = INNERHALB_DER_ARBEITSZEIT
Z54 = AUCH_AUSSERHALB_DER_ARBEITSZEIT
Z58 = WECHSEL_SAEMTLICHER_EINRICHTUNGEN
Z59 = TEILWEISER_WECHSEL 
Z55 = AENDERUNG_KONFIGURATION
Z57 = ABBESTELLUNG_ZAEHLZEITEN
Z60 = ABBESTELLUNG_MESSPRODUKT",,,,,,,,,"Z01
Z02",,,,,,,,,,,,,,,,,,,,,,,,,,,
0060,10,IMD,C,D,999,1,1,Produkt-/Leistungsbeschreibung,"IMD++Z10
IMD++Z11
IMD++Z12
IMD++Z13
IMD++Z35
IMD++Z53
IMD++Z54
IMD++Z58
IMD++Z59","Abrechnungsbrennwert und Zustandszahl
Lastgangdaten
Zählerstände
Werteermittlung
Energiemenge Einzelwert
innerhalb der Arbeitszeit
auch außerhalb der Arbeitszeit
Wechsel sämtlicher technischen Einrichtungen
Teilweiser Wechsel technischer Einrichtungen",,,anfragetyp,,,,,,,"Z11
Z12
Z35",Z10,,,,,,"Z53
Z54",,,,,,,"Z11
Z12
Z35",,,,,,,,,,,,,,,,
0060,11,IMD,C,D,999,1,1,Bestellung Zählzeitdefinition,"IMD++Z55
IMD++Z57
IMD++Z60","Änderung Konfiguration
Abbestellung Zählzeitdefinition
Abbestellung Messprodukt mit Zählzeit des LF",,,,,,,,,,,,,,,,,,,,,"Z55
Z57",,"

x",,,,,,,,,,,,,,,,,
0060,12,IMD,C,D,999,1,1,Lieferrichtung,"IMD++Z14+Z06
IMD++Z14+Z07","Erzeugung
Verbrauch",S,anfrage,energierichtung,"Z06 = EINSP
Z07 = AUSSP",,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
0060,13,IMD,C,D,999,1,1,Kundenanlage nach §20 Abs.1d EnWG,"IMD++Z66
IMD++Z67","Beendigung Konfiguration aufgrund Überführung der Marktlokation zu ruhender Marktlokation
Aktivierung Konfiguration in der derzeit ruhenden Marktlokation",S,anfrage,anfragetyp,"Z66 = BEENDIGUNG_KONFIGURATION 
Z67 = AKTIVIERUNG_KONFIGURATION",,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
0070,14,FTX,C,D,99,1,1,Reklamation von normierten Profilen bzw. Profilscharen,"FTX+AFH++A01:E_0100
FTX+AFH++A01:E_0101",Überführung der Marktlokation zu ruhender,MaBiS,reklamation,reklamationsgrundBemerkung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0090,,SG1,C,D,9999,1,1,Referenz Nachrichtennummer,,Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100,15,RFF,M,M,1,1,1,Referenz Nachrichtennummer,RFF+ACW:AFN9523,Referenznummer einer vorangegangenen Nachricht,T,,"AAG = angebotsnummer
ACW = angebotsreferenz",,,,x,,,,,,,,,,,,,ACW,,,,ACW,,,,,,,,,,,,,,,,
0090,,SG1,C,D,9999,1,1,Referenz Angebotsnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
