0120,,SG2,C,D,99,1,1,MP-ID des Eigentümers der Liste der Zählzeitdefinitionen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,44,NAD,M,M,1,1,1,MP-ID des Eigentümers der Liste der Zählzeitdefinitionen,"NAD+VY+1234567890128::9
NAD+VY+1234567890128::293",andere zugehörige Partei,T,beteiligterMarktpartner,"rollencodenummer
rollencodetyp",,,,,,,,,,,,,,,,,,,,x 1,,,,,,,,,,,,,,,,,
0120,,SG2,C,D,99,1,1,MP-ID des NB des Vorgangs der Anmeldung nach WiM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,45,NAD,M,M,1,1,1,MP-ID des NB des Vorgangs der Anmeldung nach WiM,NAD+DDM+1234567890128::9,"9 GS1
293 DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",T,beteiligterMarktpartner,"rollencodenummer
rollencodetyp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120,,SG2,C,D,99,1,1,Lieferant der Lokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,46,NAD,M,M,99,99,1,Lieferant der Lokation,NAD+SU+1234567890128::9',"9 GS1
293 DE, BDEW (Bundesverband der Energie und Wasserwirtschaft e.V.)",S,"bei RFF+Z18 -> MARKTLOKATION.marktrollen [marktrolle=LF)
marktlokationsTyp[].typ = STANDARD_MARKTLOKATION

bei RFF+Z20 -> TRANCHE.marktrollen [marktrolle=LF)

bei RFF+Z59 -> MARKTLOKATION.marktrollen [marktrolle=LF)
marktlokationsTyp[].typ = KUNDENANLAGE","rollencodenummer
rollencodetyp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,,SG3,C,R,99,1,2,Referenz auf die ID der Lokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,47,RFF,M,M,1,1,2,Referenz auf die ID der Lokation,"RFF+Z18:20072281644
RFF+Z20:20072281644
RFF+Z59:20072281644","Z18 Marktlokation
Z20 Tranche
Z59 Marktlokation Kundenanlage",S,"bei RFF+Z18 -> MARKTLOKATION
marktlokationsTyp[].typ = STANDARD_MARKTLOKATION

bei RFF+Z20 -> TRANCHE

bei RFF+Z59 -> MARKTLOKATION
marktlokationsTyp[].typ = KUNDENANLAGE","marktlokationsId
tranchenId",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120,,SG2,C,D,99,1,1,ÜNB der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,48,NAD,M,M,1,1,1,ÜNB der Marktlokation,NAD+Z31+1234567890128::9,"9 GS1
293 DE, BDEW (Bundesverband der Energie und Wasserwirtschaft e.V.)",S,MARKTLOKATION.marktrollen [marktrolle=UENB),"rollencodenummer
rollencodetyp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,,SG3,C,R,99,1,2,Referenz auf die ID der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,49,RFF,M,M,1,1,2,Referenz auf die ID der Marktlokation,RFF+Z18:20072281644,Z18 Marktlokation,S,MARKTLOKATION,marktlokationsId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120,,SG2,C,D,99,1,1,MSB der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,50,NAD,M,M,1,1,1,MSB der Marktlokation,NAD+DEB+1234567890128::9,"9 GS1
293 DE, BDEW (Bundesverband der Energie und Wasserwirtschaft e.V.)",S,"Wenn RFF+Z18 vorhanden:
MARKTLOKATION.marktrollen [marktrolle=MSB)
marktlokationsTyp[].typ = STANDARD_MARKTLOKATION

Wenn RFF+Z59 vorhanden:
MARKTLOKATION.marktrollen [marktrolle=MSB)
marktlokationsTyp[].typ = KUNDENANLAGE","rollencodenummer
rollencodetyp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120,,SG3,C,D,99,1,2,Referenz auf die ID der Marktlokation der Kundenanlage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,51,RFF,M,M,1,1,2,Referenz auf die ID der Marktlokation der Kundenanlage,RFF+Z59:20072281644,Z59 Marktlokation Kundenanlage,S,"MARKTLOKATION
marktlokationsTyp[].typ = KUNDENANLAGE",marktlokationsId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,200000,1,Positionsteil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,52,LIN,M,M,1,1,1,Positionsteil,"LIN+1+Z42+9990001000649:Z01
LIN+1+Z69+9990001000649:Z01
LIN+1+Z70+9990001000649:Z01","Zählzeitdefinition:Artikelnummer
Schaltzeitdefinition:Artikelnummer
Leistungskurvendefinition:Artikelnummer",S,auftrag.positionsdaten,"definitionsTyp (ENUM)
positionsnummer

artikelnummer (ENUM BDEWArtikelnummer)","Z42 = ZAEHLZEIT
Z69 = SCHALTZEIT
Z70 = LEISTUNGSKURVEN


https://github.com/Hochfrequenz/BO4E-dotnet/blob/main/BO4E/ENUM/BDEWArtikelnummer.cs",,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,
1120,53,PIA,C,D,25,25,2,OBIS-Kennzahl,PIA+5+1-1?:1.8.1:SRW,OBIS-KZ,S,"reklamation (PID 17122, 17113)
auftrag.positionsdaten",obiskennzahl,,obisData.obisCode,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
1130,54,IMD,C,D,99,1,2,Grund der Anforderung von Werten,"IMD++Z46
IMD++Z47
IMD++Z48
IMD++Z49
IMD++Z61
IMD++Z62
IMD++Z63","Abgrenzung von Energiemengen
Abgrenzung
Wechselereignis
Zwischenablesung
Direkter Vertrag MSB - AN
Direkter Vertrag MSB - ANN
Änderung im Lokationsbündel",S,auftrag.positionsdaten,anfragegrund,"Z46 = ABGRENZUNG_VON_ENERGIEMENGEN
Z47 = ABGRENZUNG
Z48 = WECHSELEREIGNIS
Z49 = ZWISCHENABLESUNG
Z61 = DIREKTER_VERTRAG_MSB_AN
Z62 = DIREKTER_VERTRAG_MSB_ANN
Z63 = AENDERUNG_IM_LOKATIONSBUENDEL

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,55,DTM,C,D,35,1,2,Zeitpunkt für Wertanfrage,DTM+7:CCYYMMDDHHMMZZZ:303,Gültigkeitsdatum/-zeit,S,auftrag.positionsdaten,gueltigAb,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
1180,56,DTM,C,D,35,1,2,Beginn Zeitraum für Wertanfrage,DTM+163:CCYYMMDDHHMMZZZ:303,"Verarbeitung, Beginndatum/-zeit",S,"reklamation.zeitraumMesswertanfrage (PID 17122, 17113)

auftrag.positionsdaten",startdatum,,,,,,,x,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,
1180,57,DTM,C,D,35,1,2,Ende Zeitraum für Wertanfrage,DTM+164:CCYYMMDDHHMMZZZ:303,"Verarbeitung, Endedatum/-zeit",S,"reklamation.zeitraumMesswertanfrage (PID 17122, 17113)

auftrag.positionsdaten",enddatum,,,,,,,x,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,
1270,58,FTX,C,D,99,1,2,Allgemeine Information (Feld für allgemeine Hinweise),FTX+ACB+++Text1:Text2:Text3:Text4:Text5,Zusätzliche Informationen (für allgemeine Hinweise),S,auftrag.positionsdaten.allgemeineInformationen,info1-5,,,,Kann,Kann,Kann,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,
1270,59,FTX,C,D,99,1,2,Beschreibung der Reklamation von Werten und Definitionen,FTX+Z04+++Text1:Text2:Text3:Text4:Text5,"Z04 Werte zu hoch im angegebenen Zeitintervall
Z05 Werte zu niedrig im angegebenen Zeitintervall
Z06 Werte fehlen im angegebenen Zeitintervall
Z07 Übersicht der Definition fehlt
Z08 Übersicht der Definition ist unplausibel
Z09 Ausgerollte Definition fehlt
Z10 Ausgerollte Definition ist unplausibel",S,reklamation,"reklamationsgrund
reklamationsgrundBemerkung.bemerkung1
reklamationsgrundBemerkung.bemerkung2
reklamationsgrundBemerkung.bemerkung3
reklamationsgrundBemerkung.bemerkung4
reklamationsgrundBemerkung.bemerkung5","Z04 = WERTE_ZU_HOCH
Z05 = WERTE_ZU_NIEDRIG
Z06 = WERTE_FEHLEN
Z07 = UEBERSICHT_FEHLT
Z08 = UEBERSICHT_UNPLAUSIBEL
Z09 = AUSGEROLLTE_DEFINITION_FEHLT
Z10 = AUSGEROLLTE_DEFINITION_UNPLAUSIBEL",,,,,,,,,,,,,,,,"Z07
Z08
Z09
Z10",,,,"Z04
Z05
Z06",,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Profilgruppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,60,CCI,M,M,1,1,2,Profilgruppe,CCI+Z02,"Z02 Standardlastprofil
Z03 tagesparameterabhängiges Lastprofil
Z04 Standardeinspeiseprofil
Z05 tagesparameterabhängiges Einspeiseprofil","MaBiS
S",bilanzierung.lastprofile,profilart,"Z02 = STANDARDLASTPROFIL
Z03 = TAGESPARAMETERABHÄNGIGES_LASTPROFIL
Z04 = STANDARDEINSPEISEPROFIL
Z05 = TAGESPARAMETERABHÄNGIGES_EINSPEISEPROFIL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Prognosegrundlage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,61,CCI,M,M,1,1,2,Prognosegrundlage,CCI+++Z77,Prognosegrundlage,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
1300,62,CAV,C,R,10,1,3,Prognosegrundlage,CAV+Z38,"Z38 Prognose auf Basis von Profilen
Z39 Prognose auf Basis von Werten",S,bilanzierung,prognosegrundlage (ENUM),"Z38 = PROFILE
Z39 = WERTE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Konzessionsabgabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,63,CCI,M,M,1,1,2,Konzessionsabgabe,CCI+++Z08,Konzessionsabgabe,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1300,64,CAV,C,R,10,1,3,Konzessionsabgabe,"CAV+ZA9
CAV+ZB0","ZA9 Energie in Schwachlastzeiten im Zusammenhang mit Schwachlast_x0002_Konzessionsabgabe separat erfassen
ZB0 Energie in Schwachlastzeiten im Zusammenhang mit dem Entfall der Schwachlast-Konzessionsabgabe nicht separat erfassen",S,auftrag.positionsdaten,energieerfassung,"ZA9 = SEPARAT_ERFASSEN
ZB0 = NICHT_SEPARAT_ERFASSEN",,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Zugeordnete Zählzeitdefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,65,CCI,M,M,1,1,2,Zugeordnete Zählzeitdefinition,CCI+Z39++XYZ,Z39 Code der Zählzeitdefinition,S,zaehlzeitdefinition.zaehlzeiten,code,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Zugeordnete Schaltzeitdefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,66,CCI,M,M,1,1,2,Zugeordnete Schaltzeitdefinition,CCI+Z52++XYZ,Z52 Code der Schaltzeitdefinition,S,schaltzeitdefinition.schaltzeiten,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Zugeordnete Leistungskurvendefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,67,CCI,M,M,1,1,2,Zugeordnete Leistungskurvendefinition,CCI+Z53++XYZ,Z53 Code der Leistungskurvendefinition,S,leistungskurvendefinition.leistungskurven,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Geräteart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,68,CCI,M,M,1,1,2,Geräteart,CCI+++Z25,"Z25 Wandler
Z26 Kommunikationseinrichtung
Z27 Technische Steuereinrichtung
Z64 Mengenumwerter
Z75 Smartmeter-Gateway
Z76 Steuerbox
ZD4 Zähleinrichtung",S,zaehler.geraete.geraeteeigenschaften,geraetetyp,"Z25 = WANDLER
Z26 = KOMMUNIKATIONSEINRICHTUNG
Z27 = TECHNISCHESTEUEREINRICHTUNG
Z64 = MENGENUMWERTER
Z75 = SMARTMETERGATEWAY
Z76 = STEUERBOX
ZD4 = OPTIONALE_ZUS_ZAEHLEINRICHTUNG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,,SG34,C,D,9999,1,2,Versionsangabe der Summenzeitreihe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,69,RFF,M,M,1,1,2,Versionsangabe der Summenzeitreihe,RFF+AUU:20201231132445?+00,Referenz auf eine Zeitreihe,MaBiS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,,SG34,C,D,9999,3,2,Gerätenummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,70,RFF,M,M,1,1,2,Gerätenummer,RFF+Z09:8465929523,Gerätenummer,S,zaehler,"geraete.geraetenummer

weitere RFF+Z09 auf geraete.weitereGeraetenummern",,,, ,Kann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,,SG34,C,D,9999,1,2,Positionsnummer aus dem Angebot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,71,RFF,M,M,1,1,2,Positionsnummer aus dem Angebot,RFF+Z03:12,Positionsnummer des Angebots,S,auftrag.positionsdaten,positionsnummerAngebot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,,SG38,C,D,9999,1,2,MaBiS-ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,72,LOC,M,M,1,1,2,Meldepunkt,LOC+172+DE00014545768S0000000000000003054,Meldepunkt (MaBiS-ZPB),MaBiS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,,SG38,C,D,9999,1,2,Bilanzkreis für Strom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,73,LOC,M,M,1,1,2,Bilanzkreis für Strom,LOC+237+11XMUSTERXY----O,Bilanzkreis,MaBiS,bilanzierung,bilanzkreis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,200000,1,Erforderliches Produkt der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,74,LIN,M,M,1,1,1,Erforderliches Produkt der Marktlokation,LIN+1+Z54,Z54 Erforderliches Produkt der Marktlokation,S,"auftrag.positionsdaten

zusätzlich (ausgehend):

AUFTRAG.positionsdaten[]","positionsnummer



lokationsId",,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
1120,75,PIA,C,R,25,1,2,Erforderliches Produkt der Marktlokation,PIA+5+9991000000078:Z11,Z11 Produkt,S,marktlokation.zaehlwerke,messprodukt,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Zugeordnete Zählzeitdefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,76,CCI,M,M,1,1,2,Zugeordnete Zählzeitdefinition,"CCI+Z39++XYZ
CCI+Z41","Z39 Code der Zählzeitdefinition
Z41 Keine Zählzeit für Messprodukt erforderlich",S,marktlokation.zaehlwerke.zaehlzeiten,zaehlzeitDefinition,"Z39 = 1:1
Z41 = null",,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Netzbetreiber relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,77,CCI,M,M,1,1,2,Messprodukt für Netzbetreiber relevant,CCI+++ZA8,NB,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1300,78,CAV,C,R,10,4,3,Verwendungszweck der Werte,CAV+Z84,"Z84 Netznutzungsabrechnung
Z85 Bilanzkreisabrechnung
Z86 Mehrmindermengenabrechnung
Z92 Übermittlung an das HKNR
ZE1 Es liegt kein Verwendungszweck vor",S,"marktlokation.zaehlwerke.verwendungszwecke
","marktrolle = NB
zweck","Z84 = NETZNUTZUNGSABRECHNUNG
Z85 = BILANZKREISABRECHNUG
Z86 = MEHRMINDERMENGENABRECHNUNG
Z92 = UEBERMITTLUNG_AN_DAS_HKNR
ZE1 = ES_LIEGT_KEIN_VERWENDUNGSZWECK_VOR",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Lieferant relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,79,CCI,M,M,1,1,2,Messprodukt für Lieferant relevant,CCI+++ZA7,LF,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1300,80,CAV,C,R,10,4,3,Verwendungszweck der Werte,CAV+Z84,"Z47 Endkundenabrechnung
Z84 Netznutzungsabrechnung
Z85 Bilanzkreisabrechnung
Z86 Mehrmindermengenabrechnung
ZE1 Es liegt kein Verwendungszweck vor",S,"marktlokation.zaehlwerke.verwendungszwecke

","marktrolle = LF
zweck","Z47 = ENDKUNDENABRECHNUNG
Z84 = NETZNUTZUNGSABRECHNUNG
Z85 = BILANZKREISABRECHNUNG
Z86 = MEHRMINDERMENGENABRECHNUNG
ZE1 = ES_LIEGT_KEIN_VERWENDUNGSZWECK_VOR",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Übertragungsnetzbetreiber relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,81,CCI,M,M,1,1,2,Messprodukt für Übertragungsnetzbetreiber relevant,CCI+++ZA9,ÜNB,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1300,82,CAV,C,R,10,4,3,Verwendungszweck der Werte,CAV+Z85,"Z85 Bilanzkreisabrechnung
ZB5 Zur Ermittlung der Ausgeglichenheit von Bilanzkreisen",S,"marktlokation.zaehlwerke.verwendungszwecke

","marktrolle = UENB
zweck","Z85 = BILANZKREISABRECHNUNG
ZB5 = ERMITTLUNG_AUSGEGLICHENHEIT_BILANZKREIS",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,200000,1,Erforderliches Produkt der Tranche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,83,LIN,M,M,1,1,1,Erforderliches Produkt der Tranche,LIN+1+Z16,Erforderliches Produkt der Tranche,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1120,84,PIA,C,R,25,1,2,Erforderliches Messprodukt der Tranche,PIA+5+9991000000143:Z11,Z11 Produkt,S,tranche.zaehlwerke,messprodukt,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1130,85,IMD,C,D,99,1,2,Leistungsbeschreibung Konfiguration,"IMD++Z64
IMD++Z65","Z64 Neukonfiguration
Z65 Konfiguration unverändert",S,auftrag.positionsdaten,anfragegrund,"Z64 = NEUKONFIGURATION
Z65 = KONFIGURATION_UNVERAENDERT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,86,QTY,C,D,99,1,2,Prozentualer Anteil der Tranche an der erzeugenden Marktlokation,QTY+11:4.12:P1,"11 Aufteilungsmenge
P1 Prozent",S,tranche.aufteilungsmenge,produktCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Basis zur Bildung der Tranchengröße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,87,CCI,M,M,1,1,2,Basis zur Bildung der Tranchengröße,CCI+Z37++ZD1,"ZD1 Prozentual
ZD2 Aufteilungsfaktor auf Basis von Referenzenträger/installierter Leistung",S,TRANCHE[],bildungTranchengroesse,"ZD1 = PROZENTUAL
ZD2 = AUFTEILUNGSFAKTOR",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Netzbetreiber relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,88,CCI,M,M,1,1,2,Messprodukt für Netzbetreiber relevant,CCI+++ZA8,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,89,CAV,C,R,10,4,3,Verwendungszweck der Werte,CAV+Z85,"Z85 Bilanzkreisabrechnung
Z92 Übermittlung an das HKNR",S,tranche.zaehlwerke.verwendungszwecke,"marktrolle = NB
zweck","Z85 = BILANZKREISABRECHNUNG
Z92 = UEBERMITTLUNG_AN_DAS_HKNR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Lieferant relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,90,CCI,M,M,1,1,2,Messprodukt für Lieferant relevant,CCI+++ZA7,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,91,CAV,C,R,10,4,3,Verwendungszweck der Werte,CAV+Z85,"Z47 Endkundenabrechnung
Z85 Bilanzkreisabrechnung",S,tranche.zaehlwerke.verwendungszwecke,"marktrolle = LF
zweck","Z47 = ENDKUNDENABRECHNUNG
Z85 = BILANZKREISABRECHNUNG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Übertragungsnetzbetreiber relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,92,CCI,M,M,1,1,2,Messprodukt für Übertragungsnetzbetreiber relevant,CCI+++ZA9,ÜNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,93,CAV,C,R,10,4,3,Verwendungszweck der Werte,CAV+Z85,"Z85 Bilanzkreisabrechnung
ZB5 Zur Ermittlung der Ausgeglichenheit von Bilanzkreisen",S,tranche.zaehlwerke.verwendungszwecke,"marktrolle = UENB
zweck","Z85 = BILANZKREISABRECHNUNG
ZB5 = ERMITTLUNG_AUSGEGLICHENHEIT_BILANZKREIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,,SG34,C,D,9999,1,2,Referenz auf ID der Tranche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,94,RFF,M,M,1,1,2,Referenz auf ID der Tranche,RFF+Z20:DE000562668020O6G56M11SN51G21M24S,Tranche,S,tranche,tranchenId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,200000,1,Erforderliches Produkt der Messlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,95,LIN,M,M,1,1,1,Erforderliches Produkt der Messlokation,LIN+1+Z19,Z19 Erforderliches Produkt der Messlokation,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
1120,96,PIA,C,R,25,1,2,Erforderliches Produkt der Messlokation,PIA+5+9988000000154:Z11,Z11 Produkt,S,messlokation.zaehlwerke,messprodukt,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Weitere Beschreibung erforderliches Messprodukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,97,CCI,M,M,1,1,1,Weitere Beschreibung erforderliches Messprodukt,CCI+Z35,Z35 Beschreibung erforderlicher Wert,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
1300,98,CAV,C,R,10,1,3,Notwendigkeit einer zweiten Messung,CAV+ZC9:::Z06,"Z06 vorhanden
Z07 nicht vorhanden",S,messlokation.zaehlwerke,notwendigkeitZweiteMessung,"Z06 = VORHANDEN
Z07 = NICHT_VORHANDEN",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
1300,99,CAV,C,R,10,1,3,Werteübermittlung an den NB aufgrund weiterem Verwendungszweck,CAV+Z88:::Z06,"Z06 vorhanden
Z07 nicht vorhanden",S,messlokation.zaehlwerke,werteuebermittlungVerwendungszweck,"Z06 = VORHANDEN
Z07 = NICHT_VORHANDEN",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Zugeordnete Zählzeitdefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,100,CCI,M,M,1,1,2,Zugeordnete Zählzeitdefinition,"CCI+Z39++XYZ
CCI+Z41","Z39 Code der Zählzeitdefinition
Z41 Keine Zählzeit für Messprodukt erforderlich",S,messlokation.zaehlwerke.zaehlzeiten,zaehlzeitDefinition,"Z39 = 1:1
Z41 = null",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
1450,,SG34,C,D,9999,1,2,Referenz auf ID der Messlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,101,RFF,M,M,1,1,2,Referenz auf ID der Messlokation,RFF+Z19:DE000562668020O6G56M11SN51G21M24S,Messlokation,S,"messlokation



zusätzlich:

AUFTRAG.positionsdaten[]","messlokationsId




lokationsId",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,1,1,Erforderliches Produkt der Netzlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,102,LIN,M,M,1,1,1,Erforderliches Produkt der Netzlokation,LIN+1+Z55,Z55 Erforderliches Produkt der Netzlokation,S,auftrag.positionsdaten,positionsnummer,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,103,PIA,C,R,25,1,2,Erforderliches Produkt der Netzlokation,PIA+5+9991000000656:Z11,Z11 Produkt,S,netzlokation.zaehlwerke,messprodukt,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Netzbetreiber relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,104,CCI,M,M,1,1,2,Messprodukt für Netzbetreiber relevant,CCI+++ZA8,ZA8 NB,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
