Nummer,Nr.,Typ,Status,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,21000,21001,21002,21003,21004,21005,21007,21009,21010,21011,21012,21013,21015,21018,21024,21025,21026,21027,21036,21028,21029,21030,21031,21032,21033,21042,21034,21035,21039,21040,21041,21037,21038
0610,65,STS,M,M,1,1,2,Status des Lieferscheins,STS+Z25+Z31+A01:E_0456,"Z25 Status des Lieferscheins
+
Z30 zugestimmt
Z31 widersprochen
+
E_0456 EBD Nr. E_0456","S



T",statusmitteilung,"statusObjekt = LIEFERSCHEIN
auftragsstatus (ENUM)


antwortstatus
antwortstatusCodeliste","Z30 -> ZUGESTIMMT
Z31 -> WIDERSPROCHEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
0620,66,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21035,21035 GPKE / Rückmeldung auf Lieferschein,T,,pruefidentifikator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21035,,,,,
0620,67,RFF,C,R,999,1,3,Lieferschein,RFF+ACW:576ZUT56TZ,Referenznummer einer vorangegangenen Nachricht,T,,vorgangsreferenznummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
0660,,SG16,C,D,99,99,3,Weitere Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0670,68,EFI,M,M,1,1,3,Ansicht des Senders,EFI+:Z01,Ansicht des Senders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
0710,69,DTM,C,D,9,1,4,Beginn Messperiode,DTM+163:CCYYMMDDHHMMZZZ:303,"Verarbeitung, Beginndatum/-zeit",T,,verwendungAb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
0710,70,DTM,C,D,9,1,4,Ende Messperiode,DTM+164:CCYYMMDDHHMMZZZ:303,"Verarbeitung, Endedatum/-zeit",T,,verwendungBis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
0710,71,DTM,C,D,9,1,4,Leistungsperiode,DTM+306:CCYYMM:610,Leistungsperiode,T,,leistungsperiode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
0720,72,QTY,C,R,9,1,4,Menge,QTY+Z20:10:KWH,"Z20 Tarifstufe 0
Z21 Tarifstufe 1
Z22 Tarifstufe 2
Z23 Tarifstufe 3
Z24 Tarifstufe 4
Z25 Tarifstufe 5
Z26 Tarifstufe 6
Z27 Tarifstufe 7
Z28 Tarifstufe 8
Z29 Tarifstufe 9
:
Menge
:
KWH kilowatt hour
KWT kilowatt
K3 kilovolt ampere reactive hour
K5 kilovolt ampere (reactive)",T,menge,"wert
einheit
tarifstufe","Z20 -> TARIFSTUFE_0
Z21 -> TARIFSTUFE_1
Z22 -> TARIFSTUFE_2
Z23 -> TARIFSTUFE_3
Z24 -> TARIFSTUFE_4
Z25 -> TARIFSTUFE_5
Z26 -> TARIFSTUFE_6
Z27 -> TARIFSTUFE_7
Z28 -> TARIFSTUFE_8
Z29 -> TARIFSTUFE_9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
0600,,SG15,M,D,99,1,2,Status der Ausfallarbeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,73,STS,M,M,1,1,2,Status der Ausfallarbeit,STS+Z27+Z30+A01:E_0900,"Z27 Status der Ausfallarbeit
+
Z30 zugestimmt
Z32 abgelehnt
+
E_0900 EBD Nr. E_0900
E_0902 EBD Nr. E_0902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
0620,74,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21037,"21037 RD / NB-Bewertung
21038 RD / BTR-Bewertung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21037,21038
0620,75,RFF,C,R,999,1,3,Referenzangaben,RFF+ACW:gkkgui089n908ß98,Referenznummer einer vorangegangenen Nachricht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
0620,76,RFF,C,D,999,1,3,Gegenvorschlag,RFF+ACE:hlhasdf80998,Nummer des zugehörigen Dokuments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,
0730,,SG17,C,D,9,1,3,Ansprechpartner zum Gegenvorschlag bzw. zur Korrekturanforderung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740,77,NAD,M,M,1,1,3,Ansprechpartner zum Gegenvorschlag bzw. zur Korrekturanforderung,NAD+PK,Ansprechpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
0750,,SG18,C,R,9,1,4,Ansprechpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0760,78,CTA,M,M,1,1,4,Ansprechpartner,CTA+IC+:R. P. Feynman,Informationskontakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
0770,79,COM,C,R,9,4,5,Kommunikationsverbindung,COM+05638472092:AJ,Ansprechpartner Kommunikation EM = Email ; FX = Telefax ; TE = Telefon ; AJ = weiteres Telefon ; AL = Handy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,80,GID,M,M,1,1,3,Sendungspositionseinzelheiten,GID+1,Sendungsposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
1090 ,81,FTX,C,R,9,1,4,Freier Text,FTX+ACB+++X:X:X:X:X,Zusätzliche Informationen (für allgemeine Hinweise),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
0600,,SG15,M,D,99,1,2,Status des Fahrplananteils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,82,STS,M,M,1,1,2,Status des Fahrplananteils,STS+Z28+Z30+A01:E_0902,"Z28 Status des Fahrplananteils
+
Z30 zugestimmt
Z32 abgelehnt
+
E_0902 EBD Nr. E_0902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
0620,83,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21037,21037 RD / NB-Bewertung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21037,
0620,84,RFF,C,R,999,1,3,Referenzangaben,RFF+ACW:göjlfas7üümlß9mß9,Referenznummer einer vorangegangenen Nachricht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
0620,85,RFF,C,D,999,1,3,Gegenvorschlag,RFF+ACE:hasfgkmlß9mß9,Nummer des zugehörigen Dokuments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,
0730,,SG17,C,D,9,1,3,Ansprechpartner zum Gegenvorschlag bzw. zur Korrekturanforderung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740,86,NAD,M,M,1,1,3,Ansprechpartner zum Gegenvorschlag bzw. zur Korrekturanforderung,NAD+PK,Ansprechpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
0750,,SG18,C,R,9,1,4,Ansprechpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0760,87,CTA,M,M,1,1,4,Ansprechpartner,CTA+IC+:R. P. Feynman,Informationskontakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
0770,88,COM,C,R,9,4,5,Kommunikationsverbindung,COM+05638472092:AJ,Ansprechpartner Kommunikation EM = Email ; FX = Telefax ; TE = Telefon ; AJ = weiteres Telefon ; AL = Handy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,89,GID,M,M,1,1,3,Sendungspositionseinzelheiten,GID+1,Sendungsposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
1090,89,FTX,C,R,9,1,4,Freier Text,FTX+ACB+++X:X:X:X:X,Zusätzliche Informationen (für allgemeine Hinweise),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
0600,,SG15,M,D,99,1,2,Status des Gegenvorschlags der Ausfallarbeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,90,STS,M,M,1,1,2,Status des Gegenvorschlags der Ausfallarbeit,STS+Z29+Z32+A02:E_0901,"Z29 Status des Gegenvorschlags der Ausfallarbeit
+
Z30 zugestimmt
Z32 abgelehnt
+
E_0901 EBD Nr. E_0901
E_0903 EBD Nr. E_0903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
0620,92,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21037,"21037 RD / NB-Bewertung
21038 RD / BTR-Bewertung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21037,21038
0620,93,RFF,C,R,999,1,3,Referenzangaben,RFF+ACW:678767902835392,Referenznummer einer vorangegangenen Nachricht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
0730,,SG17,C,D,9,1,3,"Ansprechpartner, der den Gegenvorschlag ablehnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740,94,NAD,M,M,1,1,3,"Ansprechpartner, der den Gegenvorschlag ablehnt",NAD+PK,Ansprechpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
0750,,SG18,C,R,9,1,4,Ansprechpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0760,95,CTA,M,M,1,1,4,Ansprechpartner,CTA+IC+:R. P. Feynman,Informationskontakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
0770,96,COM,C,R,9,4,5,Kommunikationsverbindung,COM+05638472092:AJ,Ansprechpartner Kommunikation EM = Email ; FX = Telefax ; TE = Telefon ; AJ = weiteres Telefon ; AL = Handy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,97,GID,M,M,1,1,3,Sendungspositionseinzelheiten,GID+1,Sendungsposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
1090,98,FTX,C,R,9,1,4,Freier Text,FTX+ACB+++X:X:X:X:X,Zusätzliche Informationen (für allgemeine Hinweise),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
0600,,SG15,M,D,99,1,2,Status des Gegenvorschlags des Fahrplananteils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,99,STS,M,M,1,1,2,Status des Gegenvorschlags des Fahrplananteils,STS+Z30+Z30+A02:E_0903,"Z30 Status des Gegenvorschlags des Fahrplananteils
+
Z30 zugestimmt
Z32 abgelehnt
+
E_0903 EBD Nr. E_0903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
0620,100,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21038,21038 RD / BTR-Bewertung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21038
0620,101,RFF,C,R,999,1,3,Referenzangaben,RFF+ACW:6789235123656256649612871246055354,Referenznummer einer vorangegangenen Nachricht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
0730,,SG17,C,D,9,1,3,"Ansprechpartner, der den Gegenvorschlag ablehnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740,102,NAD,M,M,1,1,3,"Ansprechpartner, der den Gegenvorschlag ablehnt",NAD+PK,Ansprechpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
0750,,SG18,C,R,9,1,4,Ansprechpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0760,103,CTA,M,M,1,1,4,Ansprechpartner,CTA+IC+:R. P. Feynman,Informationskontakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
0770,104,COM,C,R,9,4,5,Kommunikationsverbindung,COM+05638472092:AJ,Ansprechpartner Kommunikation EM = Email ; FX = Telefax ; TE = Telefon ; AJ = weiteres Telefon ; AL = Handy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,105,GID,M,M,1,1,3,Sendungspositionseinzelheiten,GID+1,Sendungsposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
1090,106,FTX,C,R,9,1,4,Freier Text,FTX+ACB+++Info1:Info2:Info3:Info4:Info5,Zusätzliche Informationen (für allgemeine Hinweise),S,statusmitteilung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
0600,,SG15,M,D,99,1,2,Auftragstatus Sperren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,107,STS,M,M,1,1,2,Auftragstatus Sperren,STS+Z37+Z32+A01:E_0501,"Z37 Auftragsstatus Sperren
+
Z13 gescheitert
Z14 erfolgreich
Z32 abgelehnt
+
E_0472 EBD Nr. E_0472
E_0501 EBD Nr. E_0501
E_1002 - EBD Nr. E_1002
E_1003 - EBD Nr. E_1003","S



T",statusmitteilung,"statusObjekt = SPERREN
auftragsstatus (ENUM)



antwortstatus
antwortstatusCodeliste","Z13 -> GESCHEITERT
Z14 -> ERFOLGREICH
Z32 -> ABGELEHNT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
0620,109,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21039,"21039 GPKE, Awh Sperrp. Gas / Auftragsstatus (Sperren)",T,,pruefidentifikator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21039,,,,
0630,110,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne,DTM+293:CCYYMMDDHHMMZZZ:303,Fertigstellungsdatum/-zeit,T,,fertigstellungsdatum,UTC -> 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,111,GID,M,M,1,1,3,Sendungspositionseinzelheiten,GID+1,Sendungsposition,T,,sendungsposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1090,112,FTX,C,R,9,1,4,Freier Text,FTX+ACB+++Info1:Info2:Info3:Info4:Info5,Zusätzliche Informationen (für allgemeine Hinweise),S,statusmitteilung,positionsdaten.allgemeineInformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
0600,,SG15,M,D,99,1,2,Auftragstatus Entsperren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,113,STS,M,M,1,1,2,Auftragstatus Entsperren,STS+Z38+Z14+A01:E_0499,"Z38 Auftragsstatus Entsperren
+
Z13 gescheitert
Z14 erfolgreich
+
E_0487 EBD Nr. E_0487
E_0499 EBD Nr. E_0499
E_1005 - EBD Nr. E_1005
E_1020 - EBD Nr. E_1020","S



T",statusmitteilung,"statusObjekt = ENTSPERREN
auftragsstatus (ENUM)



antwortstatus
antwortstatusCodeliste","Z13 -> GESCHEITERT
Z14 -> ERFOLGREICH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
0620,114,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21039,"21039 GPKE, Awh Sperrp. Gas / Auftragsstatus (Sperren)",T,,pruefidentifikator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21039,,,,
0630,115,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne,DTM+293:CCYYMMDDHHMMZZZ:303,Fertigstellungsdatum/-zeit,T,,fertigstellungsdatum,UTC -> 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,116,GID,M,M,1,1,3,Sendungspositionseinzelheiten,GID+1,Sendungsposition,T,,sendungsposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1090,117,FTX,C,R,1,1,3,Freier Text,FTX+ACB+++Info1:Info2:Info3:Info4:Info5,Zusätzliche Informationen (für allgemeine Hinweise),S,statusmitteilung,positionsdaten.allgemeineInformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
0600,,SG15,M,D,99,1,2,Information über Entsperrauftrag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,117,STS,M,M,1,1,2,Information über Entsperrauftrag,STS+Z39+Z17,"Z39 Information über Entsperrauftrag 
Z17 geplant",S,statusmitteilung,"statusObjekt = ENTSPERREN
auftragsstatus",Z17 -> GEPLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
0620,118,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21040,"21040 GPKE, Awh Sperrp. Gas / Information über Entsperrauftrag",T,,pruefidentifikator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040,,,
0630,119,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne,DTM+293:CCYYMMDDHHMMZZZ:303,Fertigstellungsdatum/-zeit,T,,fertigstellungsdatum,UTC -> 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
0600,,SG15,M,D,99,1,2,Grund der Privilegierung nach EnFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,120,STS,M,M,1,1,2,Grund der Privilegierung nach EnFG,STS+Z41++ZU5+ZU6+ZU7+ZU8+ZU9',"Z41 Grund der Privilegierung nach EnFG
+
+
ZU5 § 21 EnFG Stromspeicher und Verlustenergie
ZU6 § 22 EnFG elektrisch angetriebene Wärmepumpen
ZU7 § 23 EnFG Umlageerhebung bei Anlagen zur Verstromung von Kuppelgasen
ZU8 §§ 25 - 27 EnFG Herstellung von Grünen Wasserstoff
ZU9 §§ 30 - 35 EnFG stromkostenintensive Unternehmen
ZV0 § 36 EnFG Herstellung von Wasserstoff in stromkostenintensiven Unternehmen
ZV1 § 37 EnFG Schienenbahnen
ZV2 § 38 EnFG elektrische betriebene Bussen im Linienverkehr
ZV3 § 39 EnFG Landstromanlagen
+
ZU5 § 21 EnFG Stromspeicher und Verlustenergie
ZU6 § 22 EnFG elektrisch angetriebene Wärmepumpen
ZU7 § 23 EnFG Umlageerhebung bei Anlagen zur Verstromung von Kuppelgasen
ZU8 §§ 25 - 27 EnFG Herstellung von Grünen Wasserstoff
ZU9 §§ 30 - 35 EnFG stromkostenintensive Unternehmen
ZV0 § 36 EnFG Herstellung von Wasserstoff in stromkostenintensiven Unternehmen
ZV1 § 37 EnFG Schienenbahnen
ZV2 § 38 EnFG elektrische betriebene Bussen im Linienverkehr
ZV3 § 39 EnFG Landstromanlagen
+
ZU5 § 21 EnFG Stromspeicher und Verlustenergie
ZU6 § 22 EnFG elektrisch angetriebene Wärmepumpen
ZU7 § 23 EnFG Umlageerhebung bei Anlagen zur Verstromung von Kuppelgasen
ZU8 §§ 25 - 27 EnFG Herstellung von Grünen Wasserstoff
ZU9 §§ 30 - 35 EnFG stromkostenintensive Unternehmen
ZV0 § 36 EnFG Herstellung von Wasserstoff in stromkostenintensiven Unternehmen
ZV1 § 37 EnFG Schienenbahnen
ZV2 § 38 EnFG elektrische betriebene Bussen im Linienverkehr
ZV3 § 39 EnFG Landstromanlagen
+
ZU5 § 21 EnFG Stromspeicher und Verlustenergie
ZU6 § 22 EnFG elektrisch angetriebene Wärmepumpen
ZU7 § 23 EnFG Umlageerhebung bei Anlagen zur Verstromung von Kuppelgasen
ZU8 §§ 25 - 27 EnFG Herstellung von Grünen Wasserstoff
ZU9 §§ 30 - 35 EnFG stromkostenintensive Unternehmen
ZV0 § 36 EnFG Herstellung von Wasserstoff in stromkostenintensiven Unternehmen
ZV1 § 37 EnFG Schienenbahnen
ZV2 § 38 EnFG elektrische betriebene Bussen im Linienverkehr
ZV3 § 39 EnFG Landstromanlagen
+
ZU5 § 21 EnFG Stromspeicher und Verlustenergie
ZU6 § 22 EnFG elektrisch angetriebene Wärmepumpen
ZU7 § 23 EnFG Umlageerhebung bei Anlagen zur Verstromung von Kuppelgasen
ZU8 §§ 25 - 27 EnFG Herstellung von Grünen Wasserstoff
ZU9 §§ 30 - 35 EnFG stromkostenintensive Unternehmen
ZV0 § 36 EnFG Herstellung von Wasserstoff in stromkostenintensiven Unternehmen
ZV1 § 37 EnFG Schienenbahnen
ZV2 § 38 EnFG elektrische betriebene Bussen im Linienverkehr
ZV3 § 39 EnFG Landstromanlagen",S,statusmitteilung,"statusObjekt = PRIVILEGIERUNG_NACH_ENFG

auftragsStatusListe (ENUM)



","ZU5  -> ENFG_STROMSPEICHER_UND_VERLUSTENERGIE
ZU6  -> ENFG_ELEKTRISCH_ANGETRIEBENE_WAERMEPUMPEN
ZU7  -> ENFG_UMLAGEERHEBUNG_BEI_ANLAGEN_ZUR_VERSTROMUNG_VON_KUPPELGASEN
ZU8  -> ENFG_HERSTELLUNG_VON_GRUENEN_WASSERSTOFF
ZU9  -> ENFG_STROMKOSTENINTENSIVE_UNTERNEHMEN
ZV0  -> ENFG_HERSTELLUNG_VON_WASSERSTOFF_IN_STROMKOSTENINTENSIVEN_UNTERNEHMEN
ZV1  -> ENFG_SCHIENENBAHNEN
ZV2  -> ENFG_ELEKTRISCHE_BETRIEBENE_BUSSEN_IM_LINIENVERKEHR
ZV3  -> ENFG_LANDSTROMANLAGEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0620,121,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21045,21045 GPKE / Privilegierungsinformation nach EnFG,T,,pruefidentifikator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0630,122,DTM,C,R,9,1,3,Datum/Uhrzeit/Zeitspanne,DTM+273:2024:602,273 Gültigkeitszeitspanne,T,,gueltigkeitsZeitspanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0660,,SG16,C,R,99,1,3,Privilegierte Energiemenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0670,123,EFI,M,M,1,1,3,Privilegierte Energiemenge,EFI+:Z02,Z02 Privilegierte Energiemenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0710,124,DTM,C,R,9,1,4,Beginn des Zeitraums,DTM+163:202212312300?+00:303,"163 Verarbeitung, Beginndatum/-zeit",T,,verwendungAb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0710,125,DTM,C,R,9,1,4,Ende des Zeitraums,DTM+164:202312312300?+00:303,"164 Verarbeitung, Endedatum/-zeit",T,,verwendungBis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0720,126,QTY,C,R,9,1,4,Menge,QTY+136:1234:KWH,136 Erreichte Menge in dem Zeitintervall,S,ENERGIEMENGE.energieverbrauch,wert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,,SG17,C,R,99,1,3,Letztverbraucher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740,127,NAD,M,M,1,1,3,Name und Anschrift,"NAD+Z09+++Max:Mustermann::::Z01
NAD+Z09+++Firma AG:Musterfirma::::Z02","Struktur von Personennamen
Struktur der Firmenbezeichnung",S,"vertrag.energieliefervertrag.vertragspartner2.GESCHAEFTPARTNER (GP-Rolle=""KUNDE"")","anrede
name1
name2
name3
name4
gewerbekennzeichnung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,128,GID,M,M,1,1,3,Sendungspositionseinzelheiten,GID+1,Sendungspositionseinzelheiten,T,,sendungsposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,129,FTX,C,R,9,1,4,Freier Text,FTX+ACB+++Hier:kann:Text:angegebenen:werden.,ACB Zusätzliche Informationen (für allgemeine Hinweise),S,statusmitteilung,positionsdaten.allgemeineInformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0600,,SG15,M,D,99,1,2,Bearbeitungsstatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,130,STS,M,M,1,1,2,Bearbeitungsstatus,STS+Z43+Z47+A01:E_0573,"Z43 Veränderungsstatus der Daten
+
Z47 Änderung der Daten 
Z48 keine Änderung der Daten
+
E_0573 EBD Nr. E_0573
 E_0576 EBD Nr. E_0576 
E_0577 EBD Nr. E_0577 
E_0584 EBD Nr. E_0584 
E_0585 EBD Nr. E_0585 
E_0586 EBD Nr. E_0586 
E_0587 EBD Nr. E_0587 
E_0588 EBD Nr. E_0588 
E_0589 EBD Nr. E_0589 
E_0595 EBD Nr. E_0595 
E_0613 EBD Nr. E_0613 
E_0616 EBD Nr. E_0616 
E_0618 EBD Nr. E_0618 
E_0619 EBD Nr. E_0619 
E_0620 EBD Nr. E_0620 
E_0626 EBD Nr. E_0626 
E_0627 EBD Nr. E_0627 
E_0628 EBD Nr. E_0628 
E_0629 EBD Nr. E_0629 
E_0630 EBD Nr. E_0630 
E_0632 EBD Nr. E_0632 
E_0633 EBD Nr. E_0633 
E_0634 EBD Nr. E_0634 
E_0635 EBD Nr. E_0635","S










T","statusmitteilung








","statusObjekt = VERAENDERUNGSSTATUS_DER_DATEN


auftragsstatus (ENUM)








antwortstatus
antwortstatusCodeliste


","Z47 -> AENDERUNG_DER_DATEN 
Z48 -> KEINE_AENDERUNG_DER_DATEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0620,131,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21047,21047 GPKE / Bearbeitungsstandsmeldung,T,,pruefidentifikator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0620,132,RFF,C,R,999,1,3,Referenzangaben,RFF+ACW:X,ACW Referenznummer einer vorangegangenen Nachricht,T,,vorgangsreferenznummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,133,GID,M,M,1,1,3,Sendungspositionseinzelheiten,GID+1,Positionsnummer,T,,sendungsposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
